,Level_1,Level_2,mass
6,Terrestrial,Artiodactyla (Even-hoofed mammals),10.9
13,Terrestrial,Rodentia (Rodents),3.6
12,Terrestrial,Proboscidea (Elephants),1.7
8,Terrestrial,Chiroptera (Bats),1.6
9,Terrestrial,Diprotodontia (Marsupials),1.6
10,Terrestrial,Other,1.4
11,Terrestrial,Primates (Primates),0.8
7,Terrestrial,Carnivora (Carnivores),0.7
0,Marine,Baleen whales,23.3
5,Marine,Sperm whales,6.7
3,Marine,Earless seals,4.9
2,Marine,Dolphins and Porpoises,2.7
1,Marine,Beaked whales,0.9
4,Marine,Other,0.5
22,Human,Human,393.7
17,Domesticated,Cattle,416.0
14,Domesticated,Buffaloes,67.6
24,Domesticated,Sheep,38.9
25,Domesticated,Swine,38.2
20,Domesticated,Goats,32.0
18,Domesticated,Dog,21.6
21,Domesticated,Horses,16.1
15,Domesticated,Camels and camelids,8.7
19,Domesticated,Donkeys and mules,7.5
16,Domesticated,Cat,2.2
23,Domesticated,Other,1.1
