binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Abditomys latidens,268.09,DD,Herbivore,RODENTIA
Abeomelomys sevia,54.88,LC,Omnivore,RODENTIA
Abrawayaomys ruschii,62.99,LC,Omnivore,RODENTIA
Abrocoma bennettii,250.5,LC,Herbivore,RODENTIA
Abrocoma boliviensis,158,CR,Herbivore,RODENTIA
Abrocoma budini,116.305,DD,Herbivore,RODENTIA
Abrocoma cinerea,193.64,LC,Herbivore,RODENTIA
Abrocoma famatina,89.495,DD,Herbivore,RODENTIA
Abrocoma shistacea,109.39,LC,Herbivore,RODENTIA
Abrocoma uspallata,164.2793,DD,Herbivore,RODENTIA
Abrocoma vaccarum,232.625,DD,Herbivore,RODENTIA
Abrothrix andinus,24.91,LC,Omnivore,RODENTIA
Abrothrix jelskii,34.5,LC,Omnivore,RODENTIA
Abrothrix lanosus,27.83,LC,Omnivore,RODENTIA
Abrothrix longipilis,38.86,LC,Omnivore,RODENTIA
Abrothrix olivaceus,24.52,LC,Omnivore,RODENTIA
Abrothrix sanborni,24.7,NT,Omnivore,RODENTIA
Acerodon celebensis,384.84,VU,Herbivore,CHIROPTERA
Acerodon humilis,646.6033333,EN,Herbivore,CHIROPTERA
Acerodon jubatus,1087.04,EN,Herbivore,CHIROPTERA
Acerodon leucotis,646.6033333,VU,Herbivore,CHIROPTERA
Acerodon mackloti,467.93,VU,Herbivore,CHIROPTERA
Acinonyx jubatus,50577.92,VU,Carnivore,CARNIVORA
Acomys airensis,38.657,LC,Insectivore,RODENTIA
Acomys cahirinus,41.16,LC,Omnivore,RODENTIA
Acomys cilicicus,48,DD,Omnivore,RODENTIA
Acomys cineraceus,19.24,LC,Insectivore,RODENTIA
Acomys dimidiatus,50,LC,Omnivore,RODENTIA
Acomys ignitus,24,LC,Insectivore,RODENTIA
Acomys johannis,63.85388804,LC,Insectivore,RODENTIA
Acomys kempi,21.99,LC,Insectivore,RODENTIA
Acomys louisae,20.19,LC,Insectivore,RODENTIA
Acomys minous,62.5,DD,Herbivore,RODENTIA
Acomys mullah,63.85388804,LC,Insectivore,RODENTIA
Acomys percivali,21.99,LC,Insectivore,RODENTIA
Acomys russatus,42.35,LC,Insectivore,RODENTIA
Acomys seurati,38.657,LC,Insectivore,RODENTIA
Acomys spinosissimus,26.5,LC,Insectivore,RODENTIA
Acomys subspinosus,21.92,LC,Omnivore,RODENTIA
Acomys wilsoni,18.5,LC,Insectivore,RODENTIA
Aconaemys fuscus,129.95,LC,Herbivore,RODENTIA
Aconaemys porteri,113.22,DD,Herbivore,RODENTIA
Aconaemys sagei,96.49,DD,Herbivore,RODENTIA
Acrobates pygmaeus,13.84,LC,Omnivore,DIPROTODONTIA
Addax nasomaculatus,96077.36,CR,Herbivore,CETARTIODACTYLA
Aegialomys galapagoensis,64.5,VU,Omnivore,RODENTIA
Aegialomys xanthaeolus,79.79,LC,Omnivore,RODENTIA
Aepeomys lugens,37,LC,Omnivore,RODENTIA
Aepeomys reigi,37,VU,Omnivore,RODENTIA
Aepyceros melampus,52591.69,LC,Herbivore,CETARTIODACTYLA
Aepyprymnus rufescens,2810.31,LC,Herbivore,DIPROTODONTIA
Aeretes melanopterus,246.4344257,NT,Herbivore,RODENTIA
Aeromys tephromelas,1187,DD,Omnivore,RODENTIA
Aeromys thomasi,1430.19,LC,Herbivore,RODENTIA
Aethalops aequalis,15,LC,Herbivore,CHIROPTERA
Aethalops alecto,15,LC,Herbivore,CHIROPTERA
Aethomys bocagei,63.85388804,LC,Herbivore,RODENTIA
Aethomys chrysophilus,80.85,LC,Herbivore,RODENTIA
Aethomys hindei,140.65,LC,Omnivore,RODENTIA
Aethomys ineptus,133.16,LC,Herbivore,RODENTIA
Aethomys kaiseri,89.99,LC,Herbivore,RODENTIA
Aethomys nyikae,77.015,LC,Herbivore,RODENTIA
Aethomys silindensis,83.48586401,DD,Herbivore,RODENTIA
Aethomys stannarius,83.48586401,DD,Herbivore,RODENTIA
Aethomys thomasi,63.85388804,LC,Herbivore,RODENTIA
Ailuropoda melanoleuca,118000,VU,Herbivore,CARNIVORA
Ailurops melanotis,8500,CR,Herbivore,DIPROTODONTIA
Ailurops ursinus,10000,VU,Herbivore,DIPROTODONTIA
Ailurus fulgens,5170.08,EN,Herbivore,CARNIVORA
Akodon aerosus,59.99,LC,Omnivore,RODENTIA
Akodon affinis,24.89,LC,Omnivore,RODENTIA
Akodon albiventer,25.95,LC,Insectivore,RODENTIA
Akodon azarae,25.27,LC,Omnivore,RODENTIA
Akodon boliviensis,27.5,LC,Omnivore,RODENTIA
Akodon budini,26.9,LC,Omnivore,RODENTIA
Akodon cursor,39.84,LC,Omnivore,RODENTIA
Akodon dayi,32.49,LC,Omnivore,RODENTIA
Akodon dolores,50.49,LC,Omnivore,RODENTIA
Akodon fumeus,22.69,LC,Omnivore,RODENTIA
Akodon iniscatus,28.7,LC,Omnivore,RODENTIA
Akodon juninensis,38.99,LC,Omnivore,RODENTIA
Akodon kofordi,29.49,LC,Omnivore,RODENTIA
Akodon lindberghi,26.4,DD,Omnivore,RODENTIA
Akodon lutescens,20.69,LC,Omnivore,RODENTIA
Akodon mimus,23.99,LC,Omnivore,RODENTIA
Akodon molinae,32.99,LC,Omnivore,RODENTIA
Akodon mollis,30.39,LC,Omnivore,RODENTIA
Akodon montensis,34.65,LC,Omnivore,RODENTIA
Akodon mystax,32.51675676,DD,Omnivore,RODENTIA
Akodon orophilus,38.99,LC,Omnivore,RODENTIA
Akodon paranaensis,32.51675676,LC,Omnivore,RODENTIA
Akodon pervalens,32.51675676,DD,Omnivore,RODENTIA
Akodon philipmyersi,23,DD,Omnivore,RODENTIA
Akodon reigi,32.51675676,LC,Omnivore,RODENTIA
Akodon sanctipaulensis,27.1,DD,Omnivore,RODENTIA
Akodon serrensis,28.3,LC,Omnivore,RODENTIA
Akodon siberiae,34.6,NT,Omnivore,RODENTIA
Akodon simulator,42.5,LC,Omnivore,RODENTIA
Akodon spegazzinii,28.6,LC,Omnivore,RODENTIA
Akodon subfuscus,30.39,LC,Omnivore,RODENTIA
Akodon surdus,38.99,VU,Omnivore,RODENTIA
Akodon sylvanus,38.99,LC,Omnivore,RODENTIA
Akodon toba,51.2,LC,Omnivore,RODENTIA
Akodon torques,38.99,LC,Omnivore,RODENTIA
Akodon varius,40,DD,Omnivore,RODENTIA
Alcelaphus buselaphus,160937.9,LC,Herbivore,CETARTIODACTYLA
Alces alces,461900.8,LC,Herbivore,CETARTIODACTYLA
Alionycteris paucidentata,16.24,LC,Herbivore,CHIROPTERA
Allactaga balikunica,72.5,LC,Omnivore,RODENTIA
Allactaga bullata,72.5,LC,Omnivore,RODENTIA
Allactaga elater,59,LC,Omnivore,RODENTIA
Allactaga euphratica,232,NT,Herbivore,RODENTIA
Allactaga firouzi,114.1964539,DD,Herbivore,RODENTIA
Allactaga hotsoni,76.5,LC,Herbivore,RODENTIA
Allactaga major,350,LC,Herbivore,RODENTIA
Allactaga severtzovi,159,LC,Herbivore,RODENTIA
Allactaga sibirica,97.5,LC,Insectivore,RODENTIA
Allactaga tetradactyla,52,DD,Herbivore,RODENTIA
Allactaga vinogradovi,61.83099239,NT,Herbivore,RODENTIA
Allactaga williamsi,23.33,LC,Herbivore,RODENTIA
Allactodipus bobrinskii,65,LC,Omnivore,RODENTIA
Allenopithecus nigroviridis,4749.96,LC,Herbivore,PRIMATES
Allocebus trichotis,78.09,VU,Omnivore,PRIMATES
