,binomial,common_name
1,Hipposideros abae,Aba Roundleaf Bat
2,Hylobates abbotti,Abbott's Gray Gibbon
3,Microtus abbreviatus,Insular Vole
4,Pongo abelii,Sumatran Orangutan
5,Sciurus aberti,Abert's Squirrel
6,Petaurus abidi,Northern Glider
7,Apomys abrae,"Luzon Cordillera Apomys, Luzon Cordillera Forest Mouse"
8,Pipistrellus abramus,"Japanese Pipistrelle, Japanese Pipistrelle"
9,Cynomops abrasus,Cinnamon Dog-faced Bat
10,Prosciurillus abstrusus,Secretive Dwarf Squirrel
11,Genetta abyssinica,"Ethiopian Genet, Abyssinian Genet"
12,Arvicanthis abyssinicus,"Abyssinian Grass Rat, Ethiopian Arvicanthis"
13,Mico acariensis,Rio Acar Marmoset
14,Gracilinanus aceramarcae,"Aceramarca Gracile Mouse Opossum, Bolivian Gracile Opossum"
15,Mormopterus acetabulosus,Mauritian Free-tailed Bat
16,Taphozous achates,Indonesian Tomb Bat
17,Myoprocta acouchy,Red Acouchi
18,Hylaeamys acritus,NA
19,Kerodon acrobata,NA
20,Mirimiri acrodonta,Fijian Monkey-faced Bat
21,Gerbillus acticola,Berbera Gerbil
22,Tachyglossus aculeatus,"Short-beaked Echidna, Kangaroo Island Echidna"
23,Rhinolophus acuminatus,"Accuminate Horseshoe Bat, Acuminate Horseshoe Bat"
24,Balaenoptera acutorostrata,"Common Minke Whale, Dwarf Minke Whale, Lesser Rorqual, Little Piked Whale, Minke Whale"
25,Lagenorhynchus acutus,Atlantic White-sided Dolphin
26,Rhinolophus adami,Adam's Horseshoe Bat
27,Pipistrellus adamsi,"Forest Pipistrelle, Adams's Pipistrelle, Cape York Pipistrelle"
28,Callosciurus adamsi,Ear-spot Squirrel
29,Cephalophus adersi,Aders' Duiker
30,Pteropus admiralitatum,"Admiralty Flying Fox, Admiralty Flying-fox"
31,Notocitellus adocetus,"Lesser Tropical Ground Squirel, Tropical Ground Squirrel"
32,Heteromys adspersus,Panamanian Spiny Pocket Mouse
33,Tursiops aduncus,"Indo-Pacific Bottlenose Dolphin, Indian Ocean Bottlenose Dolphin"
34,Monodelphis adusta,Sepia Short-tailed Opossum
35,Canis adustus,Side-striped Jackal
36,Tryphomys adustus,"Luzon Tryphomys, Luzon Short-nosed Rat"
37,Rattus adustus,"Burnished Enggano Rat, Sunburned Rat"
38,Antechinus adustus,"Rusty Antechinus, Rusty Marsupial Mouse, Tropical Antechinus"
39,Myotis adversus,"Large-footed Myotis, Grey Large-footed Bat, Large-footed Bat, Large-footed Mouse-eared Bat"
40,Plagiodontia aedium,"Cuvier's Hutia, Hispaniolan Hutia, Hispanolan Hutia"
41,Lepilemur aeeclis,Antafia Sportive Lemur
42,Capra aegagrus,"Wild Goat, Bezoar"
43,Tadarida aegyptiaca,"Egyptian Free-tailed Bat, Egyptian Guano Bat, Egyptian Nyctinome"
44,Rousettus aegyptiacus,"Egyptian Fruit Bat, Egyptian Rousette"
45,Myotis aelleni,Southern Myotis
46,Miniopterus aelleni,Aellen's Long-fingered Bat
