Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EMN,Livestock Manure,2,Afghanistan,5111,Stocks,960,"Cattle, dairy",2018,2018,Head,3418897,F,FAO estimate
EMN,Livestock Manure,2,Afghanistan,5111,Stocks,961,"Cattle, non-dairy",2018,2018,Head,1603709,F,FAO estimate
EMN,Livestock Manure,1,Armenia,5111,Stocks,960,"Cattle, dairy",2018,2018,Head,253990,F,FAO estimate
EMN,Livestock Manure,1,Armenia,5111,Stocks,961,"Cattle, non-dairy",2018,2018,Head,336595,F,FAO estimate
EMN,Livestock Manure,1,Armenia,5111,Stocks,1051,"Swine, breeding",2018,2018,Head,16676,F,FAO estimate
EMN,Livestock Manure,1,Armenia,5111,Stocks,1049,"Swine, market",2018,2018,Head,150081,F,FAO estimate
EMN,Livestock Manure,52,Azerbaijan,5111,Stocks,960,"Cattle, dairy",2018,2018,Head,1285784,F,FAO estimate
EMN,Livestock Manure,52,Azerbaijan,5111,Stocks,961,"Cattle, non-dairy",2018,2018,Head,1196843,F,FAO estimate
EMN,Livestock Manure,52,Azerbaijan,5111,Stocks,1051,"Swine, breeding",2018,2018,Head,549,F,FAO estimate
EMN,Livestock Manure,52,Azerbaijan,5111,Stocks,1049,"Swine, market",2018,2018,Head,4937,F,FAO estimate
EMN,Livestock Manure,13,Bahrain,5111,Stocks,960,"Cattle, dairy",2018,2018,Head,6205,F,FAO estimate
EMN,Livestock Manure,13,Bahrain,5111,Stocks,961,"Cattle, non-dairy",2018,2018,Head,3639,F,FAO estimate
EMN,Livestock Manure,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",2018,2018,Head,4054978,F,FAO estimate
EMN,Livestock Manure,16,Bangladesh,5111,Stocks,961,"Cattle, non-dairy",2018,2018,Head,20031022,F,FAO estimate
EMN,Livestock Manure,18,Bhutan,5111,Stocks,960,"Cattle, dairy",2018,2018,Head,135590,F,FAO estimate
EMN,Livestock Manure,18,Bhutan,5111,Stocks,961,"Cattle, non-dairy",2018,2018,Head,163011,F,FAO estimate
EMN,Livestock Manure,18,Bhutan,5111,Stocks,1051,"Swine, breeding",2018,2018,Head,2181,F,FAO estimate
