Item,North America,Western Europe,Eastern Europe,Oceania,Latin America,Africa,Middle East,Asia,Indian Subcontinent
Buffaloes,380,380,380,380,380,380,380,380,295
"Cattle, dairy",604,600,550,50,400,275,275,350,275
"Cattle, non-dairy",389,420,391,330,305,173,173,319,110
"Swine, breeding",198,198,180,180,28,28,28,28,28
"Swine, market",46,50,50,45,28,28,28,28,28
Asses,130,130,130,130,130,130,130,130,130
Camels,217,217,217,217,217,217,217,217,217
Mules,130,130,130,130,130,130,130,130,130
Horses,377,377,377,377,238,238,238,238,238
Sheep,48.5,48.5,48.5,48.5,28,28,28,28,28
Goats,38.5,38.5,38.5,38.5,30,30,30,30,30
"Camelids, other",115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5
Rabbits and hares,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
"Rodents, other",1,1,1,1,1,1,1,1,1
