binomial,gen_length_d
Alces alces,3721.7786
Lynx rufus,3810.032222
Macropus fuliginosus,2718.2743
Macropus giganteus,3170.271
Macropus robustus,2984.65355
Macropus rufus,3299.6
Odocoileus hemionus,2717.425
Odocoileus virginianus,2713.883333
Philantomba monticola,1818.1211
Procyon lotor,2703.9188
Acerodon jubatus,3650
Acinonyx jubatus,2190
Addax nasomaculatus,2555
Aepyceros melampus,2674.111667
Ailuropoda melanoleuca,5246.699417
Alcelaphus buselaphus,2863.875333
Ammodorcas clarkei,2555
Ammotragus lervia,1825
Antechinomys laniger,654.85
Antechinus bellus,622.1218
Antidorcas marsupialis,2563.152683
Antilocapra americana,1652.841667
Antilope cervicapra,2747.350267
Aplodontia rufa,1576.8
Aproteles bulmerae,2349.856741
Axis kuhlii,1985.475
Babyrousa togeanensis,2056.2175
Bdeogale omnivora,1825
Beatragus hunteri,2253.9745
Bettongia gaimardi,1442.15
Bettongia lesueur,1205.0795
Bettongia penicillata,1517.6945
Bettongia tropica,1008.6976
Bison bison,4288.141667
Bos gaurus,3285
Bos javanicus,3285
Bos mutus,3650
Boselaphus tragocamelus,2944.82
Brachyteles arachnoides,7300
Brachyteles hypoxanthus,7300
Bubalus depressicornis,2920
Bubalus mindorensis,3650
Bubalus quarlesi,2920
Burramys parvus,1529.35
Caenolestes condorensis,998.6765636
Callicebus barbarabrownae,2920
Callicebus coimbrai,2920
Camelus ferus,5840
Canis lupus,2883.256667
Canis simensis,1460
Capra caucasica,2555
Capra cylindricornis,2555
Capra falconeri,2555
Capra ibex,2958.933333
Capra pyrenaica,2471.76
Capra sibirica,2875.226667
Capra walie,1956.36625
Capreolus capreolus,2335.391667
Capreolus pygargus,3063.8029
Capricornis crispus,3135.631967
Caprolagus hispidus,1104.3199
Cavia intermedia,763.4281
Cephalophus adersi,703.088
Cephalophus callipygus,1936.42625
Cephalophus dorsalis,2362.6281
Cephalophus jentinki,1825
Cephalophus leucogaster,836.8205
Cephalophus natalensis,1890.876667
Cephalophus niger,1571.426333
Cephalophus nigrifrons,2407.975
Cephalophus ogilbyi,1965.47
Cephalophus rufilatus,1770.8773
Cephalophus silvicultor,2275.945333
Cephalophus spadix,962.787
