Binomial,Common name,"Female mass, kg","Male mass, kg"
Eubalaena japonica,North Pacific right whale ,24960,21805
Eubalaena glacialis,Northern right whale,24960,21805
Eubalaena australis,Southern right whale,19576,16574
Balaena mysticetus,Bowhead whale,30745,31406
Eschrichtius robustus,Gray whale,15653,15090
Balaenoptera edeni,Bryde's whale,16905,15381
Tasmacetus shepherdi,Tasman beaked whale,886,789
,Arnoux's beaked whale,1809,1656
Berardius bairdii,Baird's beaked whale,3794,2479
Indopacetus pacificus,Longman's beaked whale,1210,928
Mesoplodon bidens,Sowerby's beaked whale,462,448
Mesoplodon densirostris,Blainville's beaked whale,390,508
Mesoplodon europaeus,Gervais's beaked whale,496,289
Mesoplodon layardii,Strap-toothed whale,746,516
Mesoplodon hectori,Hector's beaked whale,336,252
Mesoplodon grayi,Gray's beaked whale,527,475
Mesoplodon stejnegeri,Stejneger's beaked whale,508,402
Mesoplodon bowdoini,Andrews' beaked whale,363,305
Mesoplodon mirus,True's beaked whale,473,416
Mesoplodon ginkgodens,Ginkgo-toothed beaked whale,430,321
Mesoplodon carlhubbsi,Hubb's beaked whale,525,414
Mesoplodon peruvianus,Pygmy beaked whale,192,177
Ziphius cavirostris,Cuvier's beaked whale,886,771
Hyperoodon ampullatus,Northern bottlenose whale,1640,1738
Hyperoodon planifrons,Southern bottlenose whale,1331,827
Kogia breviceps,Pygmy sperm whale,177,177
Kogia sima,Dwarf sperm whale,101,101
Monodon monoceros,Narwhal,262,388
Steno bredanensis,Rough-toothed dolphin,87.7,96.3
Sotalia fluviatilis,Tucuxi,38.6,38.6
Sousa chinensis,Indo-Pacific hump-backed dolphin,78.8,52
Sousa teuszii,Atlantic hump-backed dolphin,71.9,82
Orcaella heinsohni,Australian snubfin dolphin,69.7,105
Orcaella brevirostris,Irrawaddy dolphin,69.7,105
Peponocephala electra,Melon-headed whale,105,104
Feresa attenuata,Pygmy killer whale,78,117
Pseudorca crassidens,False killer whale,464,692
Lagenorhynchus albirostris,White-beaked dolphin,136,147
Lagenorhynchus acutus,Atlantic white-sided dolphin,78,105
Lagenorhynchus obscurus,Dusky dolphin,44.6,55.3
Lagenorhynchus cruciger,Hourglass dolphin,39.2,29.5
Lagenorhynchus australis,Peale's dolphin,58.6,58.6
Lagenorhynchus obliquidens,Pacific white-sided dolphin,72.7,83.6
Lagenodelphis hosei,Fraser's dolphin,95.4,95.4
Grampus griseus,Risso’s dolphin,211,236
Stenella frontalis,Atlantic spotted dolphin,67.5,65.4
Stenella clymene,Clymene dolphin,46.8,46.8
Delphinus delphis,Short-beaked common dolphin,68.3,92
Delphinus capensis,Long-beaked common dolphin,68.3,92
Lissodelphis peronii,Southern right whale dolphin,68.3,54.7
Lissodelphis borealis,Northern right whale dolphin,68.3,141
Cephalorhynchus heavisidii,Heaviside’s dolphin,32.7,32.7
Cephalorhynchus eutropia,Black dolphin,30.4,31.3
Cephalorhynchus commersonii,Commerson’s dolphin,29.5,27.3
Phocoena sinus,Vaquita,24.1,20.4
