"binomial","range_km_2"
"Abditomys latidens",469.6977285507
"Abeomelomys sevia",6575.7681997098
"Abrawayaomys ruschii",1878.7909142028
"Abrocoma bennettii",1095.9613666183
"Abrocoma boliviensis",156.5659095169
"Abrocoma budini",313.1318190338
"Abrocoma cinerea",370434.941916985
"Abrocoma famatina",2661.6204617873
"Abrocoma shistacea",3131.318190338
"Abrocoma uspallata",14.3177825292969
"Abrocoma vaccarum",37.1756622324219
"Abrothrix andinus",180363.927763469
"Abrothrix jelskii",449813.858042054
"Abrothrix lanosus",8454.5591139126
"Abrothrix longipilis",143257.807207963
"Abrothrix olivaceus",168308.352730667
"Abrothrix sanborni",3601.0159188887
"Acerodon celebensis",21136.3977847815
"Acerodon humilis",469.6977285507
"Acerodon jubatus",58868.7819783544
"Acerodon leucotis",1095.9613666183
"Acerodon mackloti",469.6977285507
"Acinonyx jubatus",2726438.7483273
"Acomys airensis",33818.2364556504
"Acomys cahirinus",71237.4888301895
"Acomys cilicicus",17.6244045712891
"Acomys cineraceus",730693.099715372
"Acomys dimidiatus",1493482.21088171
"Acomys ignitus",83449.6297725077
"Acomys johannis",20823.2659657477
"Acomys kempi",292151.987158535
"Acomys louisae",192889.200524821
"Acomys minous",1095.9613666183
"Acomys mullah",13464.6682184534
"Acomys percivali",150146.707226707
"Acomys russatus",96757.7320814442
"Acomys seurati",297944.925810661
"Acomys spinosissimus",20353.568237197
"Acomys subspinosus",1252.5272761352
"Acomys wilsoni",953173.257138887
"Aconaemys fuscus",8767.6909329464
"Aconaemys porteri",1095.9613666183
"Aconaemys sagei",7828.295475845
"Acrobates pygmaeus",303111.600824718
"Addax nasomaculatus",34131.3682746842
"Aegialomys galapagoensis",23.1805542032471
"Aegialomys xanthaeolus",131358.798084679
"Aepeomys lugens",6888.9000187436
"Aepeomys reigi",3914.1477379225
"Aepyceros melampus",1658032.98178397
"Aepyprymnus rufescens",390788.510154182
"Aeretes melanopterus",25050.545522704
"Aeromys tephromelas",76717.295663281
"Aeromys thomasi",309530.803114911
"Aethalops aequalis",83606.1956820246
"Aethalops alecto",87833.4752389809
"Aethomys bocagei",214025.598309602
"Aethomys chrysophilus",3135545.46989496
"Aethomys hindei",120086.052599462
"Aethomys ineptus",36949.5546459884
"Aethomys kaiseri",1125865.45533603
