,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
0,Abditomys latidens,268.09,RODENTIA,MURIDAE,Abditomys,DD,Herbivore
1,Abeomelomys sevia,54.88,RODENTIA,MURIDAE,Abeomelomys,LC,Omnivore
2,Abrawayaomys ruschii,62.99,RODENTIA,CRICETIDAE,Abrawayaomys,LC,Omnivore
3,Abrocoma bennettii,250.5,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore
4,Abrocoma boliviensis,158,RODENTIA,ABROCOMIDAE,Abrocoma,CR,Herbivore
5,Abrocoma budini,116.305,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
6,Abrocoma cinerea,193.64,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore
7,Abrocoma famatina,89.495,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
8,Abrocoma shistacea,109.39,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore
9,Abrocoma uspallata,164.2793,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
10,Abrocoma vaccarum,232.625,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
11,Abrothrix andinus,24.91,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
12,Abrothrix jelskii,34.5,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
13,Abrothrix lanosus,27.83,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
14,Abrothrix longipilis,38.86,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
15,Abrothrix olivaceus,24.52,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
16,Abrothrix sanborni,24.7,RODENTIA,CRICETIDAE,Abrothrix,NT,Omnivore
17,Acerodon celebensis,384.84,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore
18,Acerodon humilis,646.6033333,CHIROPTERA,PTEROPODIDAE,Acerodon,EN,Herbivore
19,Acerodon leucotis,646.6033333,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore
20,Acerodon mackloti,467.93,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore
21,Acomys airensis,38.657,RODENTIA,MURIDAE,Acomys,LC,Insectivore
22,Acomys cahirinus,41.16,RODENTIA,MURIDAE,Acomys,LC,Omnivore
23,Acomys cilicicus,48,RODENTIA,MURIDAE,Acomys,DD,Omnivore
24,Acomys cineraceus,19.24,RODENTIA,MURIDAE,Acomys,LC,Insectivore
25,Acomys dimidiatus,50,RODENTIA,MURIDAE,Acomys,LC,Omnivore
26,Acomys ignitus,24,RODENTIA,MURIDAE,Acomys,LC,Insectivore
27,Acomys johannis,63.85388804,RODENTIA,MURIDAE,Acomys,LC,Insectivore
28,Acomys kempi,21.99,RODENTIA,MURIDAE,Acomys,LC,Insectivore
29,Acomys louisae,20.19,RODENTIA,MURIDAE,Acomys,LC,Insectivore
30,Acomys minous,62.5,RODENTIA,MURIDAE,Acomys,DD,Herbivore
31,Acomys mullah,63.85388804,RODENTIA,MURIDAE,Acomys,LC,Insectivore
32,Acomys percivali,21.99,RODENTIA,MURIDAE,Acomys,LC,Insectivore
33,Acomys russatus,42.35,RODENTIA,MURIDAE,Acomys,LC,Insectivore
34,Acomys seurati,38.657,RODENTIA,MURIDAE,Acomys,LC,Insectivore
35,Acomys spinosissimus,26.5,RODENTIA,MURIDAE,Acomys,LC,Insectivore
36,Acomys subspinosus,21.92,RODENTIA,MURIDAE,Acomys,LC,Omnivore
37,Acomys wilsoni,18.5,RODENTIA,MURIDAE,Acomys,LC,Insectivore
38,Aconaemys fuscus,129.95,RODENTIA,OCTODONTIDAE,Aconaemys,LC,Herbivore
39,Aconaemys porteri,113.22,RODENTIA,OCTODONTIDAE,Aconaemys,DD,Herbivore
40,Aconaemys sagei,96.49,RODENTIA,OCTODONTIDAE,Aconaemys,DD,Herbivore
41,Acrobates pygmaeus,13.84,DIPROTODONTIA,ACROBATIDAE,Acrobates,LC,Omnivore
42,Aegialomys galapagoensis,64.5,RODENTIA,CRICETIDAE,Aegialomys,VU,Omnivore
43,Aegialomys xanthaeolus,79.79,RODENTIA,CRICETIDAE,Aegialomys,LC,Omnivore
44,Aepeomys lugens,37,RODENTIA,CRICETIDAE,Aepeomys,LC,Omnivore
45,Aepeomys reigi,37,RODENTIA,CRICETIDAE,Aepeomys,VU,Omnivore
46,Aepyprymnus rufescens,2810.31,DIPROTODONTIA,POTOROIDAE,Aepyprymnus,LC,Herbivore
47,Aeretes melanopterus,246.4344257,RODENTIA,SCIURIDAE,Aeretes,NT,Herbivore
48,Aeromys tephromelas,1187,RODENTIA,SCIURIDAE,Aeromys,DD,Omnivore
49,Aeromys thomasi,1430.19,RODENTIA,SCIURIDAE,Aeromys,LC,Herbivore
50,Aethalops aequalis,15,CHIROPTERA,PTEROPODIDAE,Aethalops,LC,Herbivore
51,Aethalops alecto,15,CHIROPTERA,PTEROPODIDAE,Aethalops,LC,Herbivore
52,Aethomys bocagei,63.85388804,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
53,Aethomys chrysophilus,80.85,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
54,Aethomys hindei,140.65,RODENTIA,MURIDAE,Aethomys,LC,Omnivore
55,Aethomys ineptus,133.16,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
56,Aethomys kaiseri,89.99,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
57,Aethomys nyikae,77.015,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
58,Aethomys silindensis,83.48586401,RODENTIA,MURIDAE,Aethomys,DD,Herbivore
59,Aethomys stannarius,83.48586401,RODENTIA,MURIDAE,Aethomys,DD,Herbivore
60,Aethomys thomasi,63.85388804,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
61,Ailurops melanotis,8500,DIPROTODONTIA,PHALANGERIDAE,Ailurops,CR,Herbivore
62,Ailurops ursinus,10000,DIPROTODONTIA,PHALANGERIDAE,Ailurops,VU,Herbivore
63,Ailurus fulgens,5170.08,CARNIVORA,AILURIDAE,Ailurus,EN,Herbivore
64,Akodon aerosus,59.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
65,Akodon affinis,24.89,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
66,Akodon albiventer,25.95,RODENTIA,CRICETIDAE,Akodon,LC,Insectivore
67,Akodon azarae,25.27,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
68,Akodon boliviensis,27.5,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
69,Akodon budini,26.9,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
70,Akodon cursor,39.84,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
71,Akodon dayi,32.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
72,Akodon dolores,50.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
73,Akodon fumeus,22.69,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
74,Akodon iniscatus,28.7,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
75,Akodon juninensis,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
76,Akodon kofordi,29.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
77,Akodon lindberghi,26.4,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
78,Akodon lutescens,20.69,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
79,Akodon mimus,23.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
80,Akodon molinae,32.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
81,Akodon mollis,30.39,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
82,Akodon montensis,34.65,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
83,Akodon mystax,32.51675676,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
84,Akodon orophilus,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
85,Akodon paranaensis,32.51675676,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
86,Akodon pervalens,32.51675676,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
87,Akodon philipmyersi,23,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
88,Akodon reigi,32.51675676,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
89,Akodon sanctipaulensis,27.1,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
90,Akodon serrensis,28.3,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
91,Akodon siberiae,34.6,RODENTIA,CRICETIDAE,Akodon,NT,Omnivore
92,Akodon simulator,42.5,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
93,Akodon spegazzinii,28.6,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
94,Akodon subfuscus,30.39,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
