,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
0,Abditomys latidens,268.09,RODENTIA,MURIDAE,Abditomys,DD,Herbivore,469.6977285507
1,Abeomelomys sevia,54.88,RODENTIA,MURIDAE,Abeomelomys,LC,Omnivore,6575.7681997098
2,Abrawayaomys ruschii,62.99,RODENTIA,CRICETIDAE,Abrawayaomys,LC,Omnivore,1878.7909142028
3,Abrocoma bennettii,250.5,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore,1095.9613666183
4,Abrocoma boliviensis,158.0,RODENTIA,ABROCOMIDAE,Abrocoma,CR,Herbivore,156.5659095169
5,Abrocoma budini,116.305,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore,313.1318190338
6,Abrocoma cinerea,193.64,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore,370434.941916985
7,Abrocoma famatina,89.495,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore,2661.6204617873
8,Abrocoma shistacea,109.39,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore,3131.318190338
9,Abrocoma uspallata,164.2793,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore,14.3177825292969
10,Abrocoma vaccarum,232.625,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore,37.1756622324219
11,Abrothrix andinus,24.91,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore,180363.927763469
12,Abrothrix jelskii,34.5,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore,449813.858042054
13,Abrothrix lanosus,27.83,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore,8454.5591139126
14,Abrothrix longipilis,38.86,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore,143257.807207963
15,Abrothrix olivaceus,24.52,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore,168308.352730667
16,Abrothrix sanborni,24.7,RODENTIA,CRICETIDAE,Abrothrix,NT,Omnivore,3601.0159188887
17,Acerodon celebensis,384.84,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore,21136.3977847815
18,Acerodon humilis,646.6033333,CHIROPTERA,PTEROPODIDAE,Acerodon,EN,Herbivore,469.6977285507
19,Acerodon leucotis,646.6033333,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore,1095.9613666183
20,Acerodon mackloti,467.93,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore,469.6977285507
21,Acomys airensis,38.657,RODENTIA,MURIDAE,Acomys,LC,Carnivore,33818.2364556504
22,Acomys cahirinus,41.16,RODENTIA,MURIDAE,Acomys,LC,Omnivore,71237.4888301895
23,Acomys cilicicus,48.0,RODENTIA,MURIDAE,Acomys,DD,Omnivore,17.6244045712891
24,Acomys cineraceus,19.24,RODENTIA,MURIDAE,Acomys,LC,Carnivore,730693.099715372
25,Acomys dimidiatus,50.0,RODENTIA,MURIDAE,Acomys,LC,Omnivore,1493482.21088171
26,Acomys ignitus,24.0,RODENTIA,MURIDAE,Acomys,LC,Carnivore,83449.6297725077
27,Acomys johannis,63.85388804,RODENTIA,MURIDAE,Acomys,LC,Carnivore,20823.2659657477
28,Acomys kempi,21.99,RODENTIA,MURIDAE,Acomys,LC,Carnivore,292151.987158535
29,Acomys louisae,20.19,RODENTIA,MURIDAE,Acomys,LC,Carnivore,192889.200524821
30,Acomys minous,62.5,RODENTIA,MURIDAE,Acomys,DD,Herbivore,1095.9613666183
31,Acomys mullah,63.85388804,RODENTIA,MURIDAE,Acomys,LC,Carnivore,13464.6682184534
32,Acomys percivali,21.99,RODENTIA,MURIDAE,Acomys,LC,Carnivore,150146.707226707
33,Acomys russatus,42.35,RODENTIA,MURIDAE,Acomys,LC,Carnivore,96757.7320814442
34,Acomys seurati,38.657,RODENTIA,MURIDAE,Acomys,LC,Carnivore,297944.925810661
35,Acomys spinosissimus,26.5,RODENTIA,MURIDAE,Acomys,LC,Carnivore,20353.568237197
36,Acomys subspinosus,21.92,RODENTIA,MURIDAE,Acomys,LC,Omnivore,1252.5272761352
37,Acomys wilsoni,18.5,RODENTIA,MURIDAE,Acomys,LC,Carnivore,953173.257138887
38,Aconaemys fuscus,129.95,RODENTIA,OCTODONTIDAE,Aconaemys,LC,Herbivore,8767.6909329464
39,Aconaemys porteri,113.22,RODENTIA,OCTODONTIDAE,Aconaemys,DD,Herbivore,1095.9613666183
40,Aconaemys sagei,96.49,RODENTIA,OCTODONTIDAE,Aconaemys,DD,Herbivore,7828.295475845
41,Acrobates pygmaeus,13.84,DIPROTODONTIA,ACROBATIDAE,Acrobates,LC,Omnivore,303111.600824718
42,Aegialomys galapagoensis,64.5,RODENTIA,CRICETIDAE,Aegialomys,VU,Omnivore,23.1805542032471
43,Aegialomys xanthaeolus,79.79,RODENTIA,CRICETIDAE,Aegialomys,LC,Omnivore,131358.798084679
44,Aepeomys lugens,37.0,RODENTIA,CRICETIDAE,Aepeomys,LC,Omnivore,6888.9000187436
45,Aepeomys reigi,37.0,RODENTIA,CRICETIDAE,Aepeomys,VU,Omnivore,3914.1477379225
46,Aepyprymnus rufescens,2810.31,DIPROTODONTIA,POTOROIDAE,Aepyprymnus,LC,Herbivore,390788.510154182
47,Aeretes melanopterus,246.4344257,RODENTIA,SCIURIDAE,Aeretes,NT,Herbivore,25050.545522704
48,Aeromys tephromelas,1187.0,RODENTIA,SCIURIDAE,Aeromys,DD,Omnivore,76717.295663281
49,Aeromys thomasi,1430.19,RODENTIA,SCIURIDAE,Aeromys,LC,Herbivore,309530.803114911
50,Aethalops aequalis,15.0,CHIROPTERA,PTEROPODIDAE,Aethalops,LC,Herbivore,83606.1956820246
51,Aethalops alecto,15.0,CHIROPTERA,PTEROPODIDAE,Aethalops,LC,Herbivore,87833.4752389809
52,Aethomys bocagei,63.85388804,RODENTIA,MURIDAE,Aethomys,LC,Herbivore,214025.598309602
53,Aethomys chrysophilus,80.85,RODENTIA,MURIDAE,Aethomys,LC,Herbivore,3135545.46989496
54,Aethomys hindei,140.65,RODENTIA,MURIDAE,Aethomys,LC,Omnivore,120086.052599462
