,binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop
0,Alces alces,461900.8,LC,Herbivore,1350000
1,Lynx rufus,6374.47,LC,Carnivore,3500000
2,Macropus fuliginosus,25564.7,LC,Herbivore,5000000
3,Macropus giganteus,33409.89,LC,Herbivore,22000000
4,Macropus robustus,25978.92,LC,Herbivore,4500000
5,Macropus rufus,38968.39,LC,Herbivore,12000000
6,Odocoileus hemionus,84560.57,LC,Herbivore,7500000
7,Odocoileus virginianus,75901.25,LC,Herbivore,45000000
8,Philantomba monticola,4896.05,LC,Omnivore,7000000
9,Procyon lotor,6373.72,LC,Omnivore,40000000
10,Acerodon jubatus,1087.04,EN,Herbivore,10000
11,Acinonyx jubatus,50577.92,VU,Carnivore,10011
12,Addax nasomaculatus,96077.36,CR,Herbivore,78
13,Aepyceros melampus,52591.69,LC,Herbivore,3000000
14,Ailuropoda melanoleuca,118000,VU,Herbivore,1864
15,Alcelaphus buselaphus,160937.9,LC,Herbivore,362000
16,Ammodorcas clarkei,28049.81,VU,Herbivore,4200
17,Ammotragus lervia,94202.22,VU,Herbivore,10607
18,Antechinomys laniger,25.57,LC,Insectivore,67082
19,Antechinus bellus,38.73,VU,Carnivore,37723
20,Antidorcas marsupialis,33571.24,LC,Herbivore,2236068
21,Antilocapra americana,47450.01,LC,Herbivore,1000000
22,Antilope cervicapra,36301.1,LC,Herbivore,52500
23,Aplodontia rufa,806.21,LC,Herbivore,100000
24,Aproteles bulmerae,623.91,CR,Herbivore,222
25,Axis kuhlii,54999.99,CR,Herbivore,474
26,Babyrousa togeanensis,85000,EN,Omnivore,750
27,Bdeogale omnivora,2281.713333,VU,Insectivore,11832
28,Beatragus hunteri,79132.17,CR,Herbivore,335
29,Bettongia gaimardi,1667.55,NT,Herbivore,47434
30,Bettongia lesueur,1447.27,NT,Omnivore,21750
31,Bettongia penicillata,1184.35,CR,Herbivore,22045
32,Bettongia tropica,1256.58,EN,Omnivore,10607
33,Bison bison,624577.1,NT,Herbivore,31000
34,Bos gaurus,721000,VU,Herbivore,22913
35,Bos javanicus,635974.3,EN,Herbivore,8000
36,Bos mutus,650000,VU,Herbivore,12990
37,Boselaphus tragocamelus,182253,LC,Herbivore,137000
38,Brachyteles arachnoides,10537.31,EN,Herbivore,1300
39,Brachyteles hypoxanthus,13500,CR,Herbivore,1282.5
40,Bubalus depressicornis,256989.3,EN,Herbivore,3750
41,Bubalus mindorensis,254389.7,CR,Herbivore,430
42,Bubalus quarlesi,181718.9,EN,Herbivore,75
43,Burramys parvus,44.27,CR,Omnivore,3375
44,Caenolestes condorensis,47.81,VU,Insectivore,1500
45,Callicebus barbarabrownae,1050,CR,Omnivore,390
46,Callicebus coimbrai,1050,EN,Omnivore,707
47,Camelus ferus,268000,CR,Herbivore,1425
48,Canis lupus,31756.51,LC,Carnivore,223607
49,Canis simensis,14361.86,EN,Carnivore,295.5
50,Capra caucasica,58149.52,EN,Herbivore,5477
