,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2
0,Alces alces,461900.8,LC,1350000.0,Herbivore,CETARTIODACTYLA,4971750.45670916
1,Lynx rufus,6374.47,LC,3500000.0,Carnivore,CARNIVORA,6260914.15567131
2,Macropus fuliginosus,25564.7,LC,5000000.0,Herbivore,DIPROTODONTIA,1327992.04452235
3,Macropus giganteus,33409.89,LC,22000000.0,Herbivore,DIPROTODONTIA,1839492.87091406
4,Macropus robustus,25978.92,LC,4500000.0,Herbivore,DIPROTODONTIA,5926332.8070337
5,Macropus rufus,38968.39,LC,12000000.0,Herbivore,DIPROTODONTIA,5053947.55920553
6,Odocoileus hemionus,84560.57,LC,7500000.0,Herbivore,CETARTIODACTYLA,5549478.66282652
7,Odocoileus virginianus,75901.25,LC,45000000.0,Herbivore,CETARTIODACTYLA,13229662.7882685
8,Philantomba monticola,4896.05,LC,7000000.0,Omnivore,CETARTIODACTYLA,1515244.87230456
9,Procyon lotor,6373.72,LC,40000000.0,Omnivore,CARNIVORA,4228845.21605147
10,Acerodon jubatus,1087.04,EN,10000.0,Herbivore,CHIROPTERA,58868.7819783544
11,Acinonyx jubatus,50577.92,VU,10011.0,Carnivore,CARNIVORA,2726438.7483273
12,Addax nasomaculatus,96077.36,CR,78.0,Herbivore,CETARTIODACTYLA,34131.3682746842
13,Aepyceros melampus,52591.69,LC,3000000.0,Herbivore,CETARTIODACTYLA,1658032.98178397
14,Ailuropoda melanoleuca,118000.0,VU,1864.0,Herbivore,CARNIVORA,19883.8705086463
15,Alcelaphus buselaphus,160937.9,LC,362000.0,Herbivore,CETARTIODACTYLA,5183114.43455697
16,Ammodorcas clarkei,28049.81,VU,4200.0,Herbivore,CETARTIODACTYLA,75934.4661156965
17,Ammotragus lervia,94202.22,VU,10607.0,Herbivore,CETARTIODACTYLA,1357426.43551152
18,Antechinomys laniger,25.57,LC,67082.0,Carnivore,DASYUROMORPHIA,2389039.21331838
19,Antechinus bellus,38.73,VU,37723.0,Carnivore,DASYUROMORPHIA,20197.0023276801
20,Antidorcas marsupialis,33571.24,LC,2236068.0,Herbivore,CETARTIODACTYLA,1470780.15400176
21,Antilocapra americana,47450.01,LC,1000000.0,Herbivore,CETARTIODACTYLA,202439.721005352
22,Antilope cervicapra,36301.1,LC,52500.0,Herbivore,CETARTIODACTYLA,1502563.03363369
23,Aplodontia rufa,806.21,LC,100000.0,Herbivore,RODENTIA,180677.059582503
24,Aproteles bulmerae,623.91,CR,222.0,Herbivore,CHIROPTERA,48.1556768662109
25,Axis kuhlii,54999.99,CR,474.0,Herbivore,CETARTIODACTYLA,156.5659095169
26,Babyrousa togeanensis,85000.0,EN,750.0,Omnivore,CETARTIODACTYLA,626.2636380676
27,Bdeogale omnivora,2281.713333,VU,11832.0,Carnivore,CARNIVORA,28025.2978035251
28,Beatragus hunteri,79132.17,CR,335.0,Herbivore,CETARTIODACTYLA,10333.3500281154
29,Bettongia gaimardi,1667.55,NT,47434.0,Herbivore,DIPROTODONTIA,12212.1409423182
30,Bettongia lesueur,1447.27,NT,21750.0,Omnivore,DIPROTODONTIA,782.8295475845
31,Bettongia penicillata,1184.35,CR,22045.0,Herbivore,DIPROTODONTIA,1409.0931856521
32,Bettongia tropica,1256.58,EN,10607.0,Omnivore,DIPROTODONTIA,156.5659095169
33,Bison bison,624577.1,NT,31000.0,Herbivore,CETARTIODACTYLA,58555.6501593206
34,Bos gaurus,721000.0,VU,22913.0,Herbivore,CETARTIODACTYLA,1240471.7011024
35,Bos javanicus,635974.3,EN,8000.0,Herbivore,CETARTIODACTYLA,107404.213928593
36,Bos mutus,650000.0,VU,12990.0,Herbivore,CETARTIODACTYLA,13934.3659470041
