,Unnamed: 0,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2,gen_length_d
0,0,Alces alces,461900.8,LC,1350000,Herbivore,CETARTIODACTYLA,4971750.45670916,3721.7786
1,1,Lynx rufus,6374.47,LC,3500000,Carnivore,CARNIVORA,6260914.15567131,3810.032222
2,2,Macropus fuliginosus,25564.7,LC,5000000,Herbivore,DIPROTODONTIA,1327992.04452235,2718.2743
3,3,Macropus giganteus,33409.89,LC,22000000,Herbivore,DIPROTODONTIA,1839492.87091406,3170.271
4,4,Macropus robustus,25978.92,LC,4500000,Herbivore,DIPROTODONTIA,5926332.8070337,2984.65355
5,5,Macropus rufus,38968.39,LC,12000000,Herbivore,DIPROTODONTIA,5053947.55920553,3299.6
6,6,Odocoileus hemionus,84560.57,LC,7500000,Herbivore,CETARTIODACTYLA,5549478.66282652,2717.425
7,7,Odocoileus virginianus,75901.25,LC,45000000,Herbivore,CETARTIODACTYLA,13229662.7882685,2713.883333
8,8,Philantomba monticola,4896.05,LC,7000000,Omnivore,CETARTIODACTYLA,1515244.87230456,1818.1211
9,9,Procyon lotor,6373.72,LC,40000000,Omnivore,CARNIVORA,4228845.21605147,2703.9188
10,10,Acerodon jubatus,1087.04,EN,10000,Herbivore,CHIROPTERA,58868.7819783544,3650
11,11,Acinonyx jubatus,50577.92,VU,10011,Carnivore,CARNIVORA,2726438.7483273,2190
12,12,Addax nasomaculatus,96077.36,CR,78,Herbivore,CETARTIODACTYLA,34131.3682746842,2555
13,13,Aepyceros melampus,52591.69,LC,3000000,Herbivore,CETARTIODACTYLA,1658032.98178397,2674.111667
14,14,Ailuropoda melanoleuca,118000,VU,1864,Herbivore,CARNIVORA,19883.8705086463,5246.699417
15,15,Alcelaphus buselaphus,160937.9,LC,362000,Herbivore,CETARTIODACTYLA,5183114.43455697,2863.875333
16,16,Ammodorcas clarkei,28049.81,VU,4200,Herbivore,CETARTIODACTYLA,75934.4661156965,2555
17,17,Ammotragus lervia,94202.22,VU,10607,Herbivore,CETARTIODACTYLA,1357426.43551152,1825
18,18,Antechinomys laniger,25.57,LC,67082,Carnivore,DASYUROMORPHIA,2389039.21331838,654.85
19,19,Antechinus bellus,38.73,VU,37723,Carnivore,DASYUROMORPHIA,20197.0023276801,622.1218
20,20,Antidorcas marsupialis,33571.24,LC,2236068,Herbivore,CETARTIODACTYLA,1470780.15400176,2563.152683
21,21,Antilocapra americana,47450.01,LC,1000000,Herbivore,CETARTIODACTYLA,202439.721005352,1652.841667
22,22,Antilope cervicapra,36301.1,LC,52500,Herbivore,CETARTIODACTYLA,1502563.03363369,2747.350267
23,23,Aplodontia rufa,806.21,LC,100000,Herbivore,RODENTIA,180677.059582503,1576.8
24,24,Aproteles bulmerae,623.91,CR,222,Herbivore,CHIROPTERA,48.1556768662109,2349.856741
25,25,Axis kuhlii,54999.99,CR,474,Herbivore,CETARTIODACTYLA,156.5659095169,1985.475
26,26,Babyrousa togeanensis,85000,EN,750,Omnivore,CETARTIODACTYLA,626.2636380676,2056.2175
27,27,Bdeogale omnivora,2281.713333,VU,11832,Carnivore,CARNIVORA,28025.2978035251,1825
28,28,Beatragus hunteri,79132.17,CR,335,Herbivore,CETARTIODACTYLA,10333.3500281154,2253.9745
29,29,Bettongia gaimardi,1667.55,NT,47434,Herbivore,DIPROTODONTIA,12212.1409423182,1442.15
30,30,Bettongia lesueur,1447.27,NT,21750,Omnivore,DIPROTODONTIA,782.8295475845,1205.0795
31,31,Bettongia penicillata,1184.35,CR,22045,Herbivore,DIPROTODONTIA,1409.0931856521,1517.6945
32,32,Bettongia tropica,1256.58,EN,10607,Omnivore,DIPROTODONTIA,156.5659095169,1008.6976
33,33,Bison bison,624577.1,NT,31000,Herbivore,CETARTIODACTYLA,58555.6501593206,4288.141667
34,34,Bos gaurus,721000,VU,22913,Herbivore,CETARTIODACTYLA,1240471.7011024,3285
35,35,Bos javanicus,635974.3,EN,8000,Herbivore,CETARTIODACTYLA,107404.213928593,3285
36,36,Bos mutus,650000,VU,12990,Herbivore,CETARTIODACTYLA,13934.3659470041,3650
37,37,Boselaphus tragocamelus,182253,LC,137000,Herbivore,CETARTIODACTYLA,1932649.58707661,2944.82
38,38,Brachyteles arachnoides,10537.31,EN,1300,Herbivore,PRIMATES,3131.318190338,7300
39,39,Brachyteles hypoxanthus,13500,CR,1282.5,Herbivore,PRIMATES,14247.4977660379,7300
40,40,Bubalus depressicornis,256989.3,EN,3750,Herbivore,CETARTIODACTYLA,82040.5365868556,2920
41,41,Bubalus mindorensis,254389.7,CR,430,Herbivore,CETARTIODACTYLA,71.8611621992188,3650
42,42,Bubalus quarlesi,181718.9,EN,75,Herbivore,CETARTIODACTYLA,58242.5183402868,2920
43,43,Burramys parvus,44.27,CR,3375,Omnivore,DIPROTODONTIA,1252.5272761352,1529.35
44,44,Caenolestes condorensis,47.81,VU,1500,Carnivore,PAUCITUBERCULATA,78.6828858950195,998.6765636
45,45,Callicebus barbarabrownae,1050,CR,390,Omnivore,PRIMATES,103333.500281154,2920
46,46,Callicebus coimbrai,1050,EN,707,Omnivore,PRIMATES,27085.9023464237,2920
47,47,Camelus ferus,268000,CR,1425,Herbivore,CETARTIODACTYLA,179424.532306367,5840
48,48,Canis lupus,31756.51,LC,223607,Carnivore,CARNIVORA,24520256.7871703,2883.256667
