,Order,all_data,global_dataset,fraction
18,PERISSODACTYLA,15,13,87
2,CETARTIODACTYLA,233,140,60
17,PERAMELEMORPHIA,19,5,26
8,DIPROTODONTIA,138,36,26
1,CARNIVORA,228,47,21
5,DASYUROMORPHIA,72,15,21
21,PRIMATES,357,56,16
12,MACROSCELIDEA,16,2,12
11,LAGOMORPHA,85,4,5
3,CHIROPTERA,1040,29,3
23,RODENTIA,2066,39,2
24,SCANDENTIA,18,0,0
0,AFROSORICIDA,52,0,0
9,EULIPOTYPHLA,438,0,0
7,DIDELPHIMORPHIA,86,0,0
22,PROBOSCIDEA,3,3,100
15,NOTORYCTEMORPHIA,2,1,50
14,MONOTREMATA,5,1,20
16,PAUCITUBERCULATA,6,1,17
20,PILOSA,10,0,0
19,PHOLIDOTA,7,0,0
13,MICROBIOTHERIA,1,0,0
10,HYRACOIDEA,5,0,0
6,DERMOPTERA,2,0,0
4,CINGULATA,7,0,0
25,TUBULIDENTATA,1,0,0
