,Feature,1,2,3,4,5,6,7,8
range,trophic_level,0,0,0,0,1,1,1,1
range,red_list_status,0,0,1,1,0,0,1,1
range,order,0,1,0,1,0,1,0,1
range,RMSE,2.3,2.2,1.9,2.0,1.8,2.0,1.8,1.8
body_mass,trophic_level,0,0,0,0,1,1,1,1
body_mass,red_list_status,0,0,1,1,0,0,1,1
body_mass,order,0,1,0,1,0,1,0,1
body_mass,RMSE,2.6,2.6,2.8,2.4,2.7,2.5,2.7,2.6
range_and_body_mass,trophic_level,0,0,0,0,1,1,1,1
range_and_body_mass,red_list_status,0,0,1,1,0,0,1,1
range_and_body_mass,order,0,1,0,1,0,1,0,1
range_and_body_mass,RMSE,2.3,2.2,1.9,1.9,1.8,2.0,1.8,1.7
