,Feature,1,2,3,4,5,6,7,8
gen_length,trophic_level,0,0,0,0,1,1,1,1
gen_length,red_list_status,0,0,1,1,0,0,1,1
gen_length,order,0,1,0,1,0,1,0,1
gen_length,RMSE,2.6,2.5,2.7,2.5,2.6,2.5,2.7,2.6
gen_length_and_range,trophic_level,0,0,0,0,1,1,1,1
gen_length_and_range,red_list_status,0,0,1,1,0,0,1,1
gen_length_and_range,order,0,1,0,1,0,1,0,1
gen_length_and_range,RMSE,2.4,2.2,2.2,2.1,2.1,2.2,2.0,2.0
gen_length_and_body_mass,trophic_level,0,0,0,0,1,1,1,1
gen_length_and_body_mass,red_list_status,0,0,1,1,0,0,1,1
gen_length_and_body_mass,order,0,1,0,1,0,1,0,1
gen_length_and_body_mass,RMSE,2.6,2.6,2.7,2.5,2.6,2.5,2.7,2.6
gen_length_range_and_body_mass,trophic_level,0,0,0,0,1,1,1,1
gen_length_range_and_body_mass,red_list_status,0,0,1,1,0,0,1,1
gen_length_range_and_body_mass,order,0,1,0,1,0,1,0,1
gen_length_range_and_body_mass,RMSE,2.4,2.2,2.1,2.1,2.0,2.1,1.9,1.9
