,Order_common,biomass_g,biomass_Mt,total_pop,pop_millions,Unnamed: 0,biomass_Mt_round,n_species,n_species_norm,predicted_mass_Mt_norm,individuals_norm
9,Rodentia (Rodents),3591851929178.0996,3.5918519291780995,25884455672.78283,25882.3,5822620,1.1,2044,0.42627737226277373,0.1600992550285025,0.29480448971678586
8,Proboscidea (Elephants),1745780217094.6226,1.7457802170946226,588241.06,0.5,8898,1.7,3,0.0006256517205422315,0.07781448615124349,6.69962342326194e-06
7,Primates (Primates),849586704770.2024,0.8495867047702024,662031424.1907389,660.4,929124,0.2,333,0.06944734098018769,0.03786854280124901,0.007540040194480364
6,Perissodactyla (Odd-hoofed mammals),304238450040.15533,0.3042384500401553,1190583.7800340669,1.2,49863,0.30000000000000004,15,0.0031282586027111575,0.01356078985516554,1.3559854152431956e-05
4,Lagomorpha (Rabbits and Hares),207122929903.94553,0.20712292990394554,544511646.4380195,543.9,229638,0.1,85,0.017726798748696558,0.009232069537045272,0.00620157827934534
3,Diprotodontia (Marsupials),1589413945417.1128,1.5894139454171128,382991054.34692246,382.40000000000003,387979,1.4,138,0.02877997914494265,0.07084478803986223,0.004361980169494507
2,Chiroptera (Bats),1590198271457.1284,1.5901982714571283,55808797423.925064,55808.2,2773155,0.5,992,0.20688216892596456,0.0708797477256126,0.6356202446075575
1,Carnivora (Carnivores),727047801397.6659,0.7270478013976659,420809703.0426512,420.3,643336,0.30000000000000004,226,0.04713242961418144,0.03240662857739572,0.004792706145403123
0,Artiodactyla (Even-hoofed mammals),10923186239135.736,10.923186239135736,221689147.07307726,220.4,616536,9.9,226,0.04713242961418144,0.48687808236665997,0.0025248727153010186
5,Other,906730555519.3761,0.9067305555193761,3875043197.608577,3872.5,2177946,0.30000000000000004,733,0.15286757038581855,0.04041560991726347,0.04413382869405659
