,binomial,biomass_g,biomass_Mt
0,Odocoileus virginianus,2681211656250.0,2.68121165625
1,Sus scrofa,1949462392289.0303,0.5901041348390286
2,Loxodonta africana,1326050427275.6501,1.3260504272756501
3,Macropus giganteus,576988800300.0,0.5769888003
4,Odocoileus hemionus,497850355875.0001,0.4978503558750001
5,Alces alces,489499372800.00006,0.48949937280000005
6,Cervus elaphus,460505980309.25006,0.46050598030925005
7,Capreolus capreolus,397441751625.00006,0.39744175162500006
8,Macropus rufus,367082233800.0,0.3670822338
9,Phacochoerus africanus,312177142120.8968,0.31217714212089676
11,Hydrochoerus hydrochaeris,276925993758.3679,0.2769259937583679
12,Syncerus caffer,265651783538.76004,0.26565178353876
13,Rangifer tarandus,247518735658.725,0.247518735658725
14,Cervus canadensis,245804875550.00003,0.24580487555000002
15,Connochaetes taurinus,241670519975.00006,0.24167051997500005
16,Orycteropus afer,236751070686.91583,0.23675107068691584
17,Eidolon helvum,226166594688.69043,0.22616659468869044
18,Procyon lotor,200134808000.0,0.200134808
19,Hylochoerus meinertzhageni,200100080991.4592,0.2001000809914592
20,Lama guanicoe,171122778000.00003,0.17112277800000003
21,Equus quagga,157000000000.0,0.157
22,Hippopotamus amphibius,147458029604.5,0.1474580296045
23,Potamochoerus porcus,143780386700.95682,0.1437803867009568
24,Aepyceros melampus,123853429950.00002,0.12385342995000001
25,Elephas maximus,119503399818.9724,0.1195033998189724
26,Redunca redunca,107198083581.12788,0.10719808358112788
27,Macropus fuliginosus,100341447500.00002,0.10034144750000001
28,Pecari tajacu,97288149542.42558,0.09728814954242558
29,Dama dama,95638178799.56184,0.09563817879956184
30,Castor canadensis,92755836716.78181,0.09275583671678181
31,Macropus robustus,91770534900.0,0.09177053489999999
32,Mazama americana,91408704697.41956,0.09140870469741956
33,Potamochoerus larvatus,88615986543.13501,0.088615986543135
34,Papio anubis,85098117679.22943,0.08509811767922942
35,Tragelaphus strepsiceros,77965560068.0,0.077965560068
36,Ursus americanus,77947677925.0,0.077947677925
37,Hystrix cristata,77408196941.10567,0.07740819694110566
38,Macropus antilopinus,74998009104.55807,0.07499800910455807
39,Chironectes minimus,74264364161.29558,0.07426436416129557
40,Muntiacus vaginalis,74066131305.84155,0.07406613130584155
41,Giraffa camelopardalis,73879208845.499,0.07387920884549899
42,Sylvilagus audubonii,72852126209.37492,0.07285212620937492
43,Erythrocebus patas,72636892384.5062,0.0726368923845062
44,Hystrix indica,69786118151.73961,0.0697861181517396
45,Kobus kob,66638764483.30101,0.06663876448330101
46,Mazama nemorivaga,65243748964.08851,0.06524374896408851
47,Hypsignathus monstrosus,64090542701.1207,0.06409054270112069
48,Tapirus terrestris,62780269708.15669,0.06278026970815669
49,Antidorcas marsupialis,58928046755.1912,0.0589280467551912
50,Sciurus vulgaris,58384779346.34355,0.05838477934634355
51,Mazama gouazoubira,57453712147.13919,0.05745371214713919
52,Myoprocta pratti,55835024297.03252,0.055835024297032514
53,Epomops franqueti,55520225274.47432,0.05552022527447432
54,Oryx gazella,55165779622.50001,0.05516577962250001
55,Hystrix africaeaustralis,54823594253.657555,0.05482359425365756
56,Rattus rattus,53407790894.3824,0.0534077908943824
57,Tragelaphus oryx,52579300000.00001,0.05257930000000001
58,Wallabia bicolor,51302215515.63615,0.05130221551563614
59,Rousettus aegyptiacus,50270966013.751236,0.050270966013751237
60,Sylvicapra grimmia,50019215010.652504,0.050019215010652505
61,Ovibos moschatus,49825176562.50001,0.049825176562500004
62,Anomalurus derbianus,49411639224.769516,0.049411639224769516
63,Axis axis,49251672953.15385,0.049251672953153844
64,Nectomys rattus,48974954247.85949,0.04897495424785949
65,Epomophorus gambianus,48125444404.64591,0.04812544440464591
66,Dactylomys dactylinus,46458419036.24681,0.04645841903624681
67,Cuniculus paca,46432096897.36814,0.04643209689736814
68,Alcelaphus buselaphus,45733723043.0,0.045733723042999996
69,Tragelaphus scriptus,45495085241.00001,0.04549508524100001
70,Nanger granti,44967294565.847694,0.04496729456584769
71,Hystrix brachyura,44716319992.006805,0.04471631999200681
72,Bandicota indica,44239356357.54557,0.04423935635754557
