,binomial,biomass_g,lower,upper
0,Odocoileus virginianus,2681211656250.0,1338932170769.3389,5144369360536.394
1,Sus scrofa,1947786535336.6826,388721689978.3824,824751593380.6094
2,Loxodonta africana,1326050427275.6501,694920895706.6484,2578807649141.0
3,Macropus giganteus,576988800300.0,281513354034.1516,1107347998390.7632
4,Odocoileus hemionus,497850355875.0001,255404192825.49463,1052732095779.0201
5,Alces alces,489499372800.00006,240891840033.0996,1068980418753.5518
6,Cervus elaphus,460505980309.25006,242936336909.2511,921225142789.577
7,Capreolus capreolus,397441751625.00006,208839965846.80035,775002726595.2504
8,Macropus rufus,367082233800.0,178938677872.4021,749183877828.9277
9,Phacochoerus africanus,311953866448.9512,240785455096.432,385261197394.00757
10,Loxodonta cyclotis,300226390000.00006,153942469965.37518,560235033321.7188
11,Hydrochoerus hydrochaeris,279399428909.8775,199672135163.29733,411586042663.1185
12,Syncerus caffer,265651783538.76004,138429742410.13,573729208802.6787
13,Rangifer tarandus,247518735658.725,128033037339.43593,479206011410.1894
14,Cervus canadensis,245804875550.00003,112810388763.41408,514753603720.6815
15,Connochaetes taurinus,241670519975.00006,124799187212.52048,482483604413.9532
16,Orycteropus afer,237537989808.52744,175961648029.97092,321742271643.85846
17,Eidolon helvum,228586062792.0797,159143222990.53586,328207941948.29926
18,Procyon lotor,200134808000.0,98804186444.31927,403866528821.2478
19,Hylochoerus meinertzhageni,199950125254.4304,162598869841.1183,246880225993.47986
20,Lama guanicoe,171122778000.00003,80552259560.6689,391161067789.447
21,Equus quagga,157000000000.0,78677758359.7386,298975996968.1492
22,Hippopotamus amphibius,147458029604.5,75292612128.17819,280990598112.0219
23,Potamochoerus porcus,143746194088.29715,116956103557.89516,174997172657.7859
24,Aepyceros melampus,123853429950.00002,68384824775.55026,251458124751.23322
25,Elephas maximus,119503399818.9724,54564620534.101715,231728911473.99606
26,Redunca redunca,107207058975.3648,85924138438.47865,131461005409.95149
27,Macropus fuliginosus,100341447500.00002,50118966721.33316,186844084870.246
28,Pecari tajacu,97215868962.97679,66091451349.19799,136304193878.50656
29,Dama dama,95643941865.80746,78245855193.33774,115200243335.34367
30,Castor canadensis,93566917323.66388,63928411135.069336,142975934116.1688
31,Macropus robustus,91770534900.0,47862199513.017715,181593860302.21112
32,Mazama americana,91442321720.08733,68985335514.27267,117507073796.16643
33,Potamochoerus larvatus,88623014664.8222,73013188648.3931,106133565437.97098
34,Papio anubis,85729997452.30325,60286006583.58958,121419833770.69717
35,Hystrix cristata,78079929528.05066,52685641205.36296,120733660719.81044
36,Tragelaphus strepsiceros,77965560068.0,37795136937.67542,160439531817.5525
37,Ursus americanus,77947677925.0,38732010158.03115,163156110644.38898
38,Macropus antilopinus,75572652094.28578,48794440754.47285,108707461028.22626
39,Chironectes minimus,75332185790.24287,49982021300.5319,108149477619.1776
40,Muntiacus vaginalis,74098485335.24675,56131345880.90806,94622180959.99762
41,Giraffa camelopardalis,73879208845.499,37596317266.62547,147562060238.54553
42,Erythrocebus patas,73432569880.42455,50712938025.37566,100516056881.8404
