,binomial,biomass_g,biomass_g_97pt5,biomass_g_2pt5,estimated_population_2pt5,estimated_population,estimated_population_97pt5
0,Odocoileus virginianus,2681211656250.0,1338932170769.3389,5144369360536.394,22471910.24407596,45000000.0,86340300.91750155
1,Sus scrofa,1947786535336.6826,388721689978.3824,824751593380.6094,5862174.008127469,8873878.26613519,12437786.41255238
2,Loxodonta africana,1326050427275.6501,694920895706.6484,2578807649141.0,231465.6268913097,441683.5,858954.3541262312
3,Macropus giganteus,576988800300.0,281513354034.1516,1107347998390.7632,10733819.764839785,22000000.0,42222060.37956052
4,Odocoileus hemionus,497850355875.0001,255404192825.49463,1052732095779.0201,3847604.854724981,7500000.0,15859164.556517953
5,Alces alces,489499372800.00006,240891840033.0996,1068980418753.5518,664360.369216564,1350000.0,2948162.2357602636
6,Cervus elaphus,460505980309.25006,242936336909.2511,921225142789.577,1284829.022513774,2435500.0,4872127.466742797
7,Capreolus capreolus,397441751625.00006,208839965846.80035,775002726595.2504,11822862.626638634,22500000.0,43874508.09356857
8,Macropus rufus,367082233800.0,178938677872.4021,749183877828.9277,5849545.24287529,12000000.0,24490987.8663464
9,Phacochoerus africanus,311953866448.9512,240785455096.432,385261197394.00757,3717976.981780371,4816891.013496179,5948832.180541828
10,Loxodonta cyclotis,300226390000.00006,153942469965.37518,560235033321.7188,51275.462481954084,100000.0,186604.1933627882
11,Hydrochoerus hydrochaeris,279399428909.8775,199672135163.29733,411586042663.1185,5283204.555815645,7392740.777283403,10890319.04191118
12,Syncerus caffer,265651783538.76004,138429742410.13,573729208802.6787,297543.0021371636,570996.0,1233182.322157066
13,Rangifer tarandus,247518735658.725,128033037339.43593,479206011410.1894,1495110.947748711,2890410.0,5595947.489606938
14,Cervus canadensis,245804875550.00003,112810388763.41408,514753603720.6815,596625.6977787529,1300000.0,2722402.000121294
15,Connochaetes taurinus,241670519975.00006,124799187212.52048,482483604413.9532,800423.403729248,1550000.0,3094500.673557494
16,Orycteropus afer,237537989808.52744,175961648029.97092,321742271643.85846,3990283.3571269005,5386650.432240253,7296151.440943644
17,Eidolon helvum,228586062792.0797,159143222990.53586,328207941948.29926,796238248.1839256,1143680282.30552,1642116527.6545055
18,Procyon lotor,200134808000.0,98804186444.31927,403866528821.2478,19747526.66598991,40000000.0,80718897.99824281
19,Hylochoerus meinertzhageni,199950125254.4304,162598869841.1183,246880225993.47986,1045433.7836372517,1285584.6795721098,1587323.0177908372
20,Lama guanicoe,171122778000.00003,80552259560.6689,391161067789.447,855119.5282448926,1816590.0,4152452.948932558
21,Equus quagga,157000000000.0,78677758359.7386,298975996968.1492,250566.10942591913,500000.0,952152.8565864622
22,Hippopotamus amphibius,147458029604.5,75292612128.17819,280990598112.0219,62431.51159420758,122270.0,232993.2152444037
23,Potamochoerus porcus,143746194088.29715,116956103557.89516,174997172657.7859,2128400.1021243003,2615933.7124809455,3184647.819358308
24,Aepyceros melampus,123853429950.00002,68384824775.55026,251458124751.23322,1656429.4941970701,3000000.0,6090863.810216986
25,Elephas maximus,119503399818.9724,54564620534.101715,231728911473.99606,21257.935742765025,46557.56,90279.71351466469
26,Redunca redunca,107207058975.3648,85924138438.47865,131461005409.95149,2528532.1356954654,3154835.1687773787,3868568.050966229
27,Macropus fuliginosus,100341447500.00002,50118966721.33316,186844084870.246,2497420.9546525204,5000000.0,9310414.06743938
28,Pecari tajacu,97215868962.97679,66091451349.19799,136304193878.50656,3983825.4301557974,5859926.557568321,8216071.862925885
29,Dama dama,95643941865.80746,78245855193.33774,115200243335.34367,1741842.3411524068,2129143.6741912896,2564489.340128616
30,Castor canadensis,93566917323.66388,63928411135.069336,142975934116.1688,4493247.858225512,6576408.5701589715,10049151.829973297
31,Macropus robustus,91770534900.0,47862199513.017715,181593860302.21112,2346939.5492057847,4500000.0,8904517.90708643
32,Mazama americana,91442321720.08733,68985335514.27267,117507073796.16643,4277023.754405128,5669335.073014947,7285324.369160443
33,Potamochoerus larvatus,88623014664.8222,73013188648.3931,106133565437.97098,1346732.222474713,1634656.309515826,1957639.3677279812
