,Family,Binomial,Common names (Eng),biomass_Mt
15,BALAENOPTERIDAE,Balaenoptera physalus,"Fin Whale, Common Rorqual, Finback, Fin-backed Whale, Finner, Herring Whale, Razorback",8.0
94,PHYSETERIDAE,Physeter macrocephalus,"Sperm Whale, Cachelot, Pot Whale, Spermacet Whale",6.7
57,BALAENOPTERIDAE,Megaptera novaeangliae,"Humpback Whale, Bunch, Hump Whale, Hunchbacked Whale",4.1
10,BALAENOPTERIDAE,Balaenoptera bonaerensis,Antarctic Minke Whale,3.4
9,BALAENOPTERIDAE,Balaenoptera acutorostrata,"Common Minke Whale, Dwarf Minke Whale, Lesser Rorqual, Little Piked Whale, Minke Whale",3.2
13,BALAENOPTERIDAE,Balaenoptera musculus,Blue Whale,1.8
56,PHOCIDAE,Lobodon carcinophaga,Crabeater Seal,1.6
12,BALAENOPTERIDAE,Balaenoptera edeni,"Bryde's Whale, Eden's Whale, Tropical Whale",1.3
84,PHOCIDAE,Pagophilus groenlandicus,"Harp Seal, Greenland Seal",0.8
11,BALAENOPTERIDAE,Balaenoptera borealis,Sei Whale,0.8
37,DELPHINIDAE,Globicephala melas,Long-finned Pilot Whale,0.8
8,BALAENIDAE,Balaena mysticetus,"Bowhead Whale, Bowhead, Greenland Right Whale",0.8
43,ZIPHIIDAE,Hyperoodon planifrons,"Southern Bottlenose Whale, Flatheaded Bottlenose Whale",0.7
36,DELPHINIDAE,Globicephala macrorhynchus,"Short-finned Pilot Whale, Pacific Pilot Whale",0.5
73,PHOCIDAE,Mirounga leonina,"Southern Elephant Seal, South Atlantic Elephant-seal, Southern Elephant-seal",0.4
27,DELPHINIDAE,Delphinus delphis,"Short-beaked Common Dolphin, Atlantic Dolphin, Pacific Dolphin, Saddle-backed Dolphin, Short-beaked Saddleback Dolphin",0.3
30,ESCHRICHTIIDAE,Eschrichtius robustus,"Gray Whale, Grey Whale",0.3
5,OTARIIDAE,Arctocephalus pusillus,"Afro-Australian Fur Seal, Australian Fur Seal, Brown Fur Seal, Cape Fur Seal, South African Fur Seal",0.2
80,ODOBENIDAE,Odobenus rosmarus,Walrus,0.2
39,PHOCIDAE,Halichoerus grypus,"Grey Seal, Gray Seal, Horsehead Seal, Long-nosed Seal",0.2
31,BALAENIDAE,Eubalaena australis,Southern Right Whale,0.2
108,DELPHINIDAE,Stenella coeruleoalba,"Striped Dolphin, Euphrosyne Dolphin",0.2
98,PHOCIDAE,Pusa hispida,"Ringed Seal, Fjord Seal, Jar Seal",0.2
106,DELPHINIDAE,Stenella attenuata,"Pantropical Spotted Dolphin, Bridled Dolphin, Narrow-snouted Dolphin",0.2
