,units type_x,aggregated taxon,aggregated biome,site,mass density,mass_std,units type_y,population density,pop_std,eff_mass_B,eff_mass_std_B,eff_mass_G,eff_mass_std_G,mass_B,mass_B_std,mass_G,mass_G_std
0,mg,Acari,Boreal Forests/Taiga,"Birch forest, Kevo",1101.6000000000001,282.40000000000003,,,,,,,,1101.6000000000001,282.40000000000003,1101.6000000000001,282.40000000000003
1,mg,Acari,Boreal Forests/Taiga,C01 – N. Finland – Kevo – pine forest,677.6594358,0.0,,,,,,,,677.6594358,0.0,677.6594358,0.0
2,mg,Acari,Boreal Forests/Taiga,C46 – USA – Oregon – Andrews Experimental Forest – Pseudotsuga forest,585.1096921,0.0,,,,,,,,585.1096921,0.0,585.1096921,0.0
3,mg,Acari,Boreal Forests/Taiga,C48 – Japan – Shiga-Yama – subalpine conifer forest,157.3578672,0.0,,,,,,,,157.3578672,0.0,157.3578672,0.0
4,mg,Acari,Boreal Forests/Taiga,C49 – Australia – Mt. Kosciusco – dry Eucalyptus forest,58.56365708,0.0,,,,,,,,58.56365708,0.0,58.56365708,0.0
5,mg,Acari,Boreal Forests/Taiga,C50 – Australia – Mt. Kosciusco – wet Eucalyptus forest,96.85946695,0.0,,,,,,,,96.85946695,0.0,96.85946695,0.0
6,mg,Acari,Boreal Forests/Taiga,Ecosystem Management Emulating  Natural  Disturbance research site,1122.0,0.0,,,,,,,,1122.0,0.0,1122.0,0.0
7,mg,Acari,Boreal Forests/Taiga,Fell Riisitunturi,437.6000000000001,0.0,,,,,,,,437.6000000000001,0.0,437.6000000000001,0.0
8,mg,Acari,Boreal Forests/Taiga,"Hornsund, Spitsbergen-plot 1- open ground",65.52,0.0,,,,,,,,65.52,0.0,65.52,0.0
9,mg,Acari,Boreal Forests/Taiga,"Hornsund, Spitsbergen-plot 1- under plant associations",91.44000000000001,0.0,,,,,,,,91.44000000000001,0.0,91.44000000000001,0.0
10,mg,Acari,Boreal Forests/Taiga,"Hornsund, Spitsbergen-plot 2",143.96,0.0,,,,,,,,143.96,0.0,143.96,0.0
11,mg,Acari,Boreal Forests/Taiga,"Hornsund, Spitsbergen-plot 3",154.08000000000004,0.0,,,,,,,,154.08000000000004,0.0,154.08000000000004,0.0
12,mg,Acari,Boreal Forests/Taiga,"Hornsund, Spitsbergen-plot 4-  in the moss
and turf layers",43.52,0.0,,,,,,,,43.52,0.0,43.52,0.0
13,mg,Acari,Boreal Forests/Taiga,"Ivantjarnsheden, Jadraas, Gastrikland",515.3,0.0,,,,,,,,515.3,0.0,515.3,0.0
14,mg,Acari,Boreal Forests/Taiga,Jyvaskyla- Natural Deciduous forest,179.33333333333334,0.0,,,,,,,,179.33333333333334,0.0,179.33333333333334,0.0
15,mg,Acari,Boreal Forests/Taiga,Jyvaskyla-Birch after Field,379.6,0.0,,,,,,,,379.6,0.0,379.6,0.0
16,mg,Acari,Boreal Forests/Taiga,Jyvaskyla-Birch after Spruce,505.29999999999995,0.0,,,,,,,,505.29999999999995,0.0,505.29999999999995,0.0
