,Density (95% Range),Density (95% Range),Density (95% Range),Density (95% Range),Density (95% Range)
Aggregated Taxon,Acari,Collembola,Formicidae,Isoptera,Other
Aggregated Biome,,,,,
Boreal Forests/Taiga,"100000
(80000-200000)
N = 17","80000
(20000-200000)
N = 17","8
(2-10)
N = 2","0

N = 1","1000
(600-2000)
N = 22"
Crops,"20000
(9000-40000)
N = 7","4000
(2000-7000)
N = 4","300
(100-400)
N = 8","2000
(500-4000)
N = 10","1000
(300-2000)
N = 12"
Deserts and Xeric Shrublands,"700
(200-1000)
N = 6","200
(20-500)
N = 5","4

N = 1","2
(0.6-4)
N = 2","30
(20-30)
N = 3"
"Mediterranean Forests, Woodlands and Scrub","20000
(4000-40000)
N = 12","8000
(4000-10000)
N = 8",,"100
(30-300)
N = 2","8000
(300-20000)
N = 12"
Pasture,"7000
(2000-10000)
N = 8","6000
(300-10000)
N = 6","300
(100-600)
N = 14","1000
(600-3000)
N = 27","200
(40-500)
N = 18"
Temperate Forests,"100000
(50000-100000)
N = 18","70000
(20000-200000)
N = 18","300
(10-900)
N = 5","6
(0.7-10)
N = 4","20000
(6000-40000)
N = 27"
"Temperate Grasslands, Savannas and Shrublands","70000
(40000-100000)
N = 4","50000
(20000-70000)
N = 8","1000
(100-4000)
N = 4","2

N = 1","900
(70-3000)
N = 10"
Tropical and Subtropical Forests,"90000
(40000-200000)
N = 8","10000
(8000-20000)
N = 11","800
(300-1000)
N = 13","2000
(1000-3000)
N = 52","600
(300-900)
N = 21"
"Tropical and Subtropical Grasslands, Savannas and Shrublands","50000
(30000-60000)
N = 2","7000
(2000-10000)
N = 2","1000
(600-1000)
N = 7","1000
(800-2000)
N = 19","800
(300-2000)
N = 8"
Tundra,"40000
(30000-60000)
N = 51","70000
(30000-100000)
N = 38","0

N = 1","0

N = 1","300
(200-500)
N = 14"
