Biome,Bacterivores,Fungivores,Herbivores,Omnivores,Predators,Total_Number
1,2.01E+19,5.44E+18,1.13E+19,5.28E+18,3.23E+18,4.54E+19
2,3.15E+18,8.75E+17,2.01E+18,6.76E+17,3.31E+17,7.04E+18
3,9.66E+17,3.09E+17,5.38E+17,2.91E+17,1.82E+17,2.29E+18
4,2.44E+19,8.39E+18,1.36E+19,5.93E+18,2.48E+18,5.48E+19
5,7.15E+18,3.68E+18,4.38E+18,2.10E+18,1.04E+18,1.84E+19
6,4.90E+19,1.73E+19,3.22E+19,8.14E+18,3.19E+18,1.10E+20
7,1.32E+19,4.99E+18,1.26E+19,3.33E+18,1.45E+18,3.56E+19
8,1.67E+19,4.83E+18,9.72E+18,2.73E+18,9.59E+17,3.49E+19
9,9.58E+17,3.30E+17,7.20E+17,2.23E+17,1.06E+17,2.34E+18
10,7.38E+18,3.10E+18,4.86E+18,2.23E+18,1.13E+18,1.87E+19
11,2.80E+19,7.91E+18,1.84E+19,4.31E+18,2.01E+18,6.06E+19
12,2.76E+18,9.84E+17,1.67E+18,6.24E+17,3.10E+17,6.34E+18
13,1.83E+19,5.50E+18,1.28E+19,3.43E+18,3.25E+18,4.32E+19
14,4.07E+17,1.26E+17,2.03E+17,1.17E+17,6.63E+16,9.19E+17
