Biome,Bacterivores,Fungivores,Herbivores,Omnivores,Predators,Total_Number
1,2.40E+19,6.15E+18,1.25E+19,6.08E+18,3.80E+18,5.26E+19
2,3.79E+18,9.63E+17,2.20E+18,7.64E+17,3.93E+17,8.10E+18
3,1.14E+18,3.45E+17,5.90E+17,3.30E+17,2.13E+17,2.62E+18
4,2.65E+19,9.35E+18,1.48E+19,6.58E+18,2.81E+18,6.00E+19
5,7.82E+18,4.08E+18,4.82E+18,2.37E+18,1.18E+18,2.03E+19
6,5.19E+19,1.86E+19,3.53E+19,8.88E+18,3.58E+18,1.18E+20
7,1.64E+19,5.55E+18,1.37E+19,3.83E+18,1.76E+18,4.12E+19
8,1.86E+19,5.47E+18,1.07E+19,3.16E+18,1.13E+18,3.91E+19
9,1.15E+18,3.72E+17,7.98E+17,2.57E+17,1.27E+17,2.70E+18
10,8.31E+18,3.51E+18,5.41E+18,2.54E+18,1.30E+18,2.11E+19
11,2.96E+19,8.57E+18,2.00E+19,4.66E+18,2.23E+18,6.50E+19
12,3.14E+18,1.11E+18,1.84E+18,7.31E+17,3.80E+17,7.20E+18
13,2.25E+19,6.80E+18,1.47E+19,4.32E+18,4.14E+18,5.24E+19
14,4.79E+17,1.42E+17,2.25E+17,1.32E+17,7.65E+16,1.05E+18
