Biome,Bacterivores,Fungivores,Herbivores,Omnivores,Predators,Total_Number
1,1.65E+19,4.85E+18,1.03E+19,4.57E+18,2.74E+18,3.90E+19
2,2.58E+18,8.04E+17,1.87E+18,6.01E+17,2.79E+17,6.13E+18
3,8.12E+17,2.76E+17,4.92E+17,2.55E+17,1.54E+17,1.99E+18
4,2.24E+19,7.51E+18,1.25E+19,5.32E+18,2.18E+18,4.99E+19
5,6.53E+18,3.31E+18,3.98E+18,1.86E+18,9.02E+17,1.66E+19
6,4.60E+19,1.61E+19,2.93E+19,7.41E+18,2.77E+18,1.02E+20
7,1.07E+19,4.55E+18,1.16E+19,2.94E+18,1.17E+18,3.10E+19
8,1.48E+19,4.25E+18,8.80E+18,2.37E+18,8.10E+17,3.10E+19
9,7.96E+17,2.94E+17,6.50E+17,1.95E+17,8.72E+16,2.02E+18
10,6.46E+18,2.71E+18,4.34E+18,1.94E+18,9.54E+17,1.64E+19
11,2.64E+19,7.17E+18,1.69E+19,3.99E+18,1.81E+18,5.62E+19
12,2.43E+18,8.76E+17,1.51E+18,5.33E+17,2.48E+17,5.60E+18
13,1.49E+19,4.49E+18,1.12E+19,2.76E+18,2.49E+18,3.58E+19
14,3.41E+17,1.12E+17,1.84E+17,1.03E+17,5.70E+16,7.97E+17
