SampleNumber,Bacterivores,Fungivores,Herbivores,Omnivores,Predators,Unidentified,Total_Number,Latitude,Longitude
1,1719.147651,20.96196868,859.4407159,125.7718121,20.96196868,377.3154362,3123.599553,53.09239939,6.626211158
2,3493.04698,105.8612975,2381.879195,688.098434,370.5838926,846.8903803,7886.360179,52.75214687,6.498077645
3,243,54,75,21,38,,431,24.457,82.9932
4,75,150,85,65,125,,500,27.0696,93.5508
5,1745,109.0666667,1390.6,136.3333333,0,708.9333333,4089.933333,52.75343643,6.34998248
6,387,78,117,6,22,,610,24.457,82.9932
7,72,85,65,42,60,,324,27.0696,93.5508
8,2469.044444,192.8888889,1890.311111,270.0444444,0,964.4444444,5786.733333,52.87848016,6.441869457
9,162,27,9,5,7,,210,24.457,82.9932
10,140,46,130,40,30,,386,27.0696,93.5508
11,1623.2,138.1333333,2831.733333,414.4,138.1333333,34.53333333,5180.133333,53.16010291,6.40747149
12,262,108,133,0,30,,533,24.457,82.9932
13,50,86,68,20,48,,272,27.0696,93.5508
14,1782.777778,78.66666667,1311.111111,236,52.44444444,472,3933,52.91989315,6.784877203
15,234,82,82,16,16,,430,24.457,82.9932
16,1631.777778,233.0666667,2680.266667,271.9111111,77.68888889,932.2666667,5826.977778,52.85940087,6.56020006
17,274,63,27,8,23,,395,24.457,82.9932
18,1522.222222,23.77777778,1426.666667,285.3333333,71.33333333,237.7777778,3567.111111,52.67815277,6.703235181
19,155,43,52,9,6,,265,24.457,82.9932
20,4049.467562,92.03579418,1288.501119,92.03579418,46.01789709,1288.501119,6856.559284,52.91677271,6.130568612
21,321,76,148,20,46,,611,24.457,82.9932
22,2597,292.5714286,1572.571429,182.8571429,109.7142857,365.7142857,5120.428571,52.21794024,6.37473271
23,293,97,139,20,31,,580,24.457,82.9932
24,3683.594595,87.7027027,1227.837838,306.9594595,43.85135135,1140.135135,6490.081081,52.6463967,6.244202629
25,634.9777778,30.26666667,191.6888889,70.62222222,20.17777778,564.9777778,1512.711111,52.11909214,5.562415523
26,1205.266667,0,319.2444444,101.5777778,87.55555556,464.3555556,2178,51.5681455,4.579492816
