system:index,Abs_Lat,Annual_Mean_Radiation,Annual_Mean_Temperature,Annual_Precipitation,Aridity_Index,Bacterivores,Bulk_Density_15cm,CContent_15cm,CatIonExcCap_15cm,Clay_Content_15cm,CoOfVar_EVI_Hetero_1km,Contrast_EVI_Hetero_1km,CorFragVolPerc_15cm,Correlation_EVI_Hetero_1km,Depth_to_Bedrock,Dissimilarity_EVI_Hetero_1km,EVI,Entropy_EVI_Hetero_1km,Evenness_EVI_Hetero_1km,Fpar,Fungivores,Global_Biomass_IPCC,Gpp,Herbivores,Highest_Weekly_Radiation,Homogeneity_EVI_Hetero_1km,Human_Development_Percentage,Human_Footprint_2009,Isothermality,Lai,Lowest_Weekly_Radiation,Max_Temperature_of_Warmest_Month,Maximum_EVI_Hetero_1km,Mean_Diurnal_Range,Mean_Temperature_of_Coldest_Quarter,Mean_Temperature_of_Driest_Quarter,Mean_Temperature_of_Warmest_Quarter,Mean_Temperature_of_Wettest_Quarter,Min_Temperature_of_Coldest_Month,NDVI,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,Nadir_Reflectance_Band4,Nadir_Reflectance_Band5,Nadir_Reflectance_Band6,Nadir_Reflectance_Band7,Npp,Omnivores,OrgCStockTHa_5to15cm,PET,Pixel_Lat,Pixel_Long,Population_Density,Precipitation_Seasonality,Precipitation_of_Coldest_Quarter,Precipitation_of_Driest_Month,Precipitation_of_Driest_Quarter,Precipitation_of_Warmest_Quarter,Precipitation_of_Wettest_Month,Precipitation_of_Wettest_Quarter,PredProb_of_R_Horizon,Predators,Radiation_Seasonality,Radiation_of_Coldest_Quarter,Radiation_of_Driest_Quarter,Radiation_of_Warmest_Quarter,Radiation_of_Wettest_Quarter,Range_EVI_Hetero_1km,Sand_Content_15cm,Shannon_Index_1km,Silt_Content_15cm,Simpson_Index_1km,Std_EVI_Hetero_1km,Temperature_Annual_Range,Temperature_Seasonality,Total_Number,Tree_Density,Unidentifi,Uniformity_EVI_Hetero_1km,Variance_EVI_Hetero_1km,WWF_Biome,eastness,elevation,hillshade,northness,pHinHOX_15cm,slope,.geo
0000bbac57ff3f890441,22.4375,140.0712128,18.14166641,1519,10354.3125,120,1236,25,12,34,445,76337,1,4758,197,20280,4272.888672,27038,9202,60.03151321,165,301.1742859,24982.25195,125,153.9199982,4170,39,8.931091309,58.90052414,23.75177956,117.1569977,27.5,1465,11.25,14.69999981,14.69999981,20.95000076,20.95000076,8.399999619,7088.661621,488.5679626,3236.990234,260.7514343,596.4700928,3432.618652,2332.932373,1023.695435,14419.89258,30,34,1466.981079,-22.4375,-44.73749924,8.13786602,74.9045639,81,23,81,685,269,769,11,42,0.078833744,125.542923,125.542923,149.687149,148.6889954,924,50,19312,17,8293,275,19.10000038,257.6893311,482,35266.5625,0,756,70497,7,0.964032531,914.5358276,162.5177612,0.165235326,52,5.950987816,"{""type"":""Point"",""coordinates"":[-44.737507916675845,-22.437515156839]}"
0000d3f425b98ce138ce,22.03750038,143.4256897,19.04999924,1528,9590.197266,45,1283,27,9,40,285,60339,1,-1252,200,18649,4249.407715,20468,9148,57.26862717,105,500,17140.97266,75,156.1699982,4451,54,8.714595795,59.15593719,19.14606476,120.012001,30.20000076,3320,13.78333378,15.39999962,15.39999962,21.85000038,21.85000038,6.900000095,6891.796387,567.5419922,3179.375488,266.5316162,621.1088257,3620.111328,2534.186035,1226.950195,10272.58496,30,34,1560.986816,-22.03750038,-44.92916489,4.807441235,77.3449707,71,19,71,790,287,790,15,30,0.078172572,127.4458466,128.691925,152.5082245,151.21315,595,41,16828,19,7903,168,23.30000114,270.2019348,285,18124.98047,0,1792,29684,7,0.506928027,973.0606689,178.0337067,-0.860453367,53,1.032904148,"{""type"":""Point"",""coordinates"":[-44.92915956001762,-22.0375152867074]}"
0000e505e1e262e2489c,21.30416679,152.6973724,19.69583321,1614,10367.07227,390,1334,19,7,37,676,139122,4,-609,200,29891,3495.852051,28478,9056,47.13311386,540,500,16525.31641,270,169,2817,38,11.07266426,63.49407578,13.66990948,130.2259979,29.20000076,972,12.50833321,16.68333435,16.70000076,22.03333282,22.01666641,9.5,5589.120117,902.2560425,3044.98291,399.5898132,834.9360352,3672.550049,2987.134766,1709.176025,10311.64355,300,24,1524.994019,-21.30416679,-44.6875,2.081632376,81.24330139,81,19,65,695,329,835,6,150,0.072069108,137.609848,140.3964691,161.936615,159.0648499,908,47,20342,17,8327,276,19.70000076,224.4635925,1650,15461.37695,0,618,67425,7,0.330016971,929.1272583,179.9343262,-0.922920585,52,1.016420245,"{""type"":""Point"",""coordinates"":[-44.68750793290939,-21.304167230369845]}"
000069bf04bff6313c8e,21.32083321,151.420517,19.48749924,1619,10574.9043,224,1317,17,7,36,1020,192497,3,2965,200,34726,3200.956055,29947,9629,44.4888649,192,500.0241699,16594.90039,96,168.1300049,2238,13,6.993546486,63.54700851,12.2290411,129.1109924,28.89999962,665,12.39166641,16.5,16.51666641,21.81666756,21.81666756,9.399999619,5543.268066,805.4812622,2677.840576,362.5593262,732.5859985,3399.504639,2713.67334,1480.888428,10419.91797,64,23,1512.005005,-21.32083321,-44.66249847,3.445246696,81.21205139,82,18,65,697,330,837,7,60,0.072497755,136.679306,139.5674591,160.8243103,157.5317688,1479,48,23768,16,8969,409,19.5,223.3334808,636,20183.53125,0,514,136302,7,-0.816830337,986.3831177,182.9004822,-0.539600849,52,0.999720573,"{""type"":""Point"",""coordinates"":[-44.66250794102617,-21.320818930529054]}"
00003c9dc2f3a96ff724,21.44583321,149.9897766,18.90416718,1616,10974.22754,40,1239,27,8,35,2026,738772,2,4760,200,68948,3240.495117,29486,9632,44.43177032,120,603.9798584,16705.99219,255,166.7899933,1331,21,3.311324835,63.48167419,12.1337595,127.223999,28.10000038,598,12.125,16,16.04999924,21.18333435,21.18333435,9,5225.269043,854.9975586,2849.777344,385.0910339,784.5018311,3486.992188,2883.936523,1593.0896,10480.74023,30,32,1476.986206,-21.44583321,-44.66249847,1.505204797,80.6096344,80,18,64,833,325,833,9,25,0.07470075,134.8289948,137.7374573,159.9356995,156.7471466,2481,48,23808,17,8973,862,19.10000038,216.2328186,470,7372.854004,0,538,716117,7,0.335540861,1142.457275,175.1321106,-0.940876245,51,4.99978447,"{""type"":""Point"",""coordinates"":[-44.66250794102617,-21.44581888994518]}"
0000902703366f96d250,21.48749924,150.958847,19.20000076,1585,10540.85547,60,1334,16,8,33,934,161130,3,3438,200,31724,3243.700928,28852,9447,45.83027267,40,500.0240784,16637.35938,20,166.9499969,2561,30,4.937802792,63.57388306,12.76824665,128.1620026,28.5,1081,12.33333302,16.20000076,16.25,21.54999924,21.54999924,9.100000381,5466.180664,848.4993896,2752.348145,384.4417114,761.7376709,3473.469971,2804.273926,1515.755005,10428.6084,20,21,1496.006714,-21.48749924,-44.67083359,1.612904906,81.264328,77,18,60,822,318,822,6,0,0.073557608,134.8930054,138.6150055,160.3996887,157.5214691,1326,51,21590,17,8684,389,19.39999962,222.9145813,140,17892.19531,0,613,121790,7,-0.456835866,1062.832397,182.966568,0.889206052,51,1.966848254,"{""type"":""Point"",""coordinates"":[-44.67081134946135,-21.48751546527645]}"
000082d8dd64830efaea,21.52916718,149.1223602,19.22500038,1588,10460.93945,70,1280,35,9,38,776,134621,2,3375,200,30281,3475.284424,28822,9447,47.04112625,37,599.9154663,15876.4375,175,164.0299988,2386,33,4.291036129,64.54081726,13.45240211,125.5279999,28.60000038,938,12.64999962,16.25,16.36666679,21.51666641,21.51666641,9,5752.313477,800.7883911,2920.000488,349.4213562,727.5516357,3538.456543,2889.68042,1591.774536,9928.853516,35,35,1496.00293,-21.52916718,-44.84583282,3.034430504,80.50946045,77,17,62,821,316,821,11,70,0.076327473,132.5013123,136.2214661,158.6253052,156.1970062,1239,44,20757,18,8600,344,19.60000038,218.2523499,391,18625.76563,4,597,103777,7,-0.319007933,1105.229614,183.199646,-0.925288677,52,3.033431053,"{""type"":""Point"",""coordinates"":[-44.84581129264392,-21.52916715731887]}"
0000c44a4450c9ef5438,21.51250076,149.1223602,19.75,1535,9558.070313,39,1303,19,9,39,859,308843,3,748,200,44446,3426.298584,29172,9496,47.04010773,117,300.1690674,13642.7002,78,164.0299988,2055,49,10.70640182,63.87520599,13.86255169,125.5279999,29.5,883,12.96666718,16.61666679,16.68333435,22.13333321,22.13333321,9.199999809,5672.266113,786.2251587,2910.416992,322.1457825,718.9274902,3628.99707,2889.848145,1598.238037,8567.780273,40,24,1538.99646,-21.51250076,-44.88750076,5.431547165,80.65698242,74,17,60,794,304,794,10,0,0.076327473,132.5013123,136.2214661,158.6253052,156.1970062,1638,44,22078,18,8768,407,20.29999924,230.9564972,274,12509.0459,0,571,168597,7,-0.951339304,950.4943237,181.298172,0.302218944,52,0.116649367,"{""type"":""Point"",""coordinates"":[-44.887507867975195,-21.512515457159672]}"
0000397806763fc97ca9,21.37916756,150.4324493,19.37916756,1567,10000.0459,15,1321,20,8,43,1100,230461,2,5380,200,37470,3788.574219,28498,9294,50.63290024,105,500,16157.99805,650,165.6999969,2667,23,11.26966763,64.125,15.74659729,127.4720001,29,1184,12.82499981,16.33333397,16.41666603,21.70000076,21.70000076,9,5882.055176,809.1878052,3150.752686,355.5934448,761.1083984,3525.565674,2680.837402,1488.883057,9945.353516,15,25,1513.99707,-21.37916756,-44.97916794,4.595057964,79.22544861,84,21,68,801,309,801,9,5,0.073697463,134.3635406,138.0693817,158.6424561,156.6945343,1688,40,21010,18,8558,537,20,224.2001801,792,19115.30469,2,634,248936,1,0.941335917,1021.798096,176.0826874,0.300171942,52,0.983579814,"{""type"":""Point"",""coordinates"":[-44.979159543784064,-21.379167206019524]}"
00002a04cd4f111abbf0,21.33749962,150.4324493,19.04166603,1602,10589.30859,40,1229,23,8,42,1204,513497,1,-160,199,59213,3342.17041,29155,9749,48.00078964,60,605.1066895,18619.83594,220,165.6999969,1654,20,6.987501144,64.51889801,13.98580551,127.4720001,28.29999924,831,12.51666641,16.08333397,16.14999962,21.31666565,21.31666565,8.899999619,6117.870117,625.6251221,2566.997314,290.2269897,603.5625,3098.962891,2371.043701,1268.00647,11664.50879,0,32,1491.985962,-21.33749962,-44.97916794,5.477120876,79.02150726,86,20,70,818,317,818,17,0,0.073697463,134.3635406,138.0693817,158.6424561,156.6945343,1624,41,23361,18,8978,521,19.39999962,218.5368042,320,20416.29883,0,561,252782,7,0.976713359,1108.974487,166.0332184,0.145913482,52,5.016140938,"{""type"":""Point"",""coordinates"":[-44.97915954378407,-21.337515513977095]}"
