Bacterivores,Fungivores,Omnivores,Pixel_Lat,Pixel_Long,Herbivores,Predators,Total_Number,Unidentified,WWF_Biome
262.5366667,0,2.803333333,-78.09583333,163.7791667,0,0,265.3377778,,25
84.04111111,0,3.197777778,-78.09583333,163.7875,0,0,87.24,,25
187.3488889,0,2.503333333,-78.0875,163.7791667,0,0,189.8511111,,25
356.0988889,0,9.828888889,-78.02083333,163.8791667,0,0,365.9244444,,25
186.7133333,0,11.42666667,-78.02083333,163.8875,0,0,198.1377778,,25
107.4811111,0,15.22777778,-78.02083333,163.8958333,0,0,122.7055556,,25
67.21,0,0.168888889,-77.6375,162.8875,0,0,67.37888889,,25
21.06444444,0,5.56,-77.62916667,162.8875,0,0,26.62666667,,25
0,0,0,-77.37916667,163.0625,0,0,430,,25
100.6,0,0,-66.37083333,110.5875,0,0,100.6,,25
96.4,0,0,-66.2875,110.5291667,0,0,96.4,,25
35.66666667,0,0,-66.2875,110.5375,0,0,35.66666667,,25
118.0833333,0,0,-66.27916667,110.5291667,0,0,118.0833333,,25
52.4,0,0,-66.27916667,110.5458333,0,0,52.4,,25
31.71428571,0,0,-66.24583333,110.5708333,0,0,31.71428571,,25
22.42857143,0,0,-66.24583333,110.5791667,0,0,22.42857143,,25
29.75,0,0,-66.24583333,110.5875,0,0,29.75,,25
18.66666667,0,0,-66.24583333,110.5958333,0,0,18.66666667,,25
0.5,0,0,-65.17083333,-64.1375,0,0,0.5,,25
0.365625,0,0,-64.8625,-62.44583333,0,0,0.375,,25
38.4075,0.15875,0.1175,-64.84583333,-62.52916667,0,0,38.6875,,25
1200.484375,0,0.3125,-63.79583333,-57.2875,0,0,1200.75,,25
5453.5125,0,0,-63.57083333,-55.77916667,0,0,5453.583333,,25
431.5247917,56.98770833,59.39875,-62.97916667,-60.55416667,0,0,547.875,,25
157.8854167,0.172083333,0,-62.92916667,-60.67916667,0,0,158.0416667,,25
0,0,2.55,-62.6625,-61.10416667,0,0,2.55,,25
33.79363636,7.552727273,25.25909091,-62.6625,-61.09583333,21.32363636,0.714545455,88.64363636,,25
0,0,32.23,-62.65416667,-61.1125,0,0,32.23,,25
49.03333333,5.833333333,2.21,-62.65416667,-61.10416667,0,0,57.07666667,,25
0,0,7.48,-62.65416667,-61.09583333,0,0,7.48,,25
1.14,0,29.385,-62.65416667,-61.0875,1.13,0,31.66,,25
86.1875,1.125,0.3125,-62.65416667,-60.6125,0,95.5625,183.25,,25
1.819166667,0.097916667,0,-62.59583333,-59.90416667,0,43.99,45.75,,25
2049.5,0,291.4166667,-62.59583333,-59.89583333,0,1359.916667,3700.833333,,25
115,14,14,-62.3875,-61.04583333,7,0,150,,25
2815.014583,72.40083333,2634.104583,-62.2125,-58.94583333,0,21.32125,5542.791667,,25
4545.08125,1671.991667,1949.363333,-62.19583333,-58.9875,0,76.01291667,8245.083333,,25
2156.989787,743.4721277,861.2478723,-62.19583333,-58.94583333,0,25.86851064,3787.808511,,25
13668.29333,2025.414167,2248.40875,-62.1625,-58.4625,0,224.7054167,18172.16667,,25
