Nominal Family,Genus,species,Gender,Nemaplex Code,cp value,feeding,feeding code,Habit,Functional guild,Basal Wtg,Enrich Wtg,Structure Wtg,Length mm,Length micm,a,Width micm,Weight micg,qCPr (µg/day),qCRs (µg/day),qMFP (µg/day),,,Family,Familymm,Gender,cp value,feeding,feeding code,nFamily,FamavgMass,StderrMass,FamavgqCPr,StderrCPr,FamavgqCRs,StderrCRs,FamavgqMFP,StderrMFP,,Lmax,Lmin,Wmax,Wmin,Wgtmax,Wgtmin,,,max lngth,min lngth,max wdth,min wdth,max wgt,min wgt,,SSQWeight(µg),Stderr,SSQC-Production,Stderr,SSQC-Respiration,Stderr,SSQMet. Ftprnt,Stderr,,,,,,
Achromadoridae,Achromadora,micoletzkyi,Female,G501,3,6,e,,e3,,,1.8,0.550,550.000,25.000,22.000,0.166,0.000,0.003,0.004,,,Achromadoridae,Achromadoridae,Female,3,6,e,11,0.315922761,0.117541565,0.000877563,0.000326504,0.004536961,0.001246661,0.005414524,0.001572745,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.027680641,0.117541565,2.13585E-07,0.000326504,9.59726E-06,0.001246661,1.26743E-05,0.001572745,,,,,,
Achromadoridae,Achromadora,micoletzkyi,Female,G501,3,6,e,,e3,,,1.8,0.600,600.000,24.000,25.000,0.234,0.001,0.004,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.054931641,,4.23855E-07,,1.60466E-05,,2.16863E-05,,,,,,,
Achromadoridae,Achromadora,pseudomicoletzkyi,Female,G501,3,6,e,,e3,,,1.8,0.630,630.000,27.000,23.333,0.214,0.001,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.045956641,,3.54604E-07,,1.40371E-05,,1.88538E-05,,,,,,,
Achromadoridae,Achromadora,ruricola,Female,G501,3,6,e,,e3,,,1.8,0.500,500.000,25.000,20.000,0.125,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.015625,,1.20563E-07,,0.00000625,,8.10667E-06,,,,,,,
Achromadoridae,Achromadora,ruricola,Female,G501,3,6,e,,e3,,,1.8,0.570,570.000,24.000,23.750,0.201,0.001,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.040379804,,3.11573E-07,,1.27391E-05,,1.70352E-05,,,,,,,
Achromadoridae,Achromadora,semiarmata,Female,G501,3,6,e,,e3,,,1.8,0.435,435.000,21.500,20.233,0.111,0.000,0.002,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.012386304,,9.55733E-08,,5.25075E-06,,6.76312E-06,,,,,,,
Achromadoridae,Achromadora,semiarmata,Female,G501,3,6,e,,e3,,,1.8,0.450,450.000,24.000,18.750,0.099,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.009776652,,7.54371E-08,,4.39701E-06,,5.62431E-06,,,,,,,
Achromadoridae,Achromadora,tenax,Female,G501,3,6,e,,e3,,,1.8,0.435,435.000,28.500,15.263,0.063,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.435,42,15.26315789,1.157625,0.063337084,,0.004011586,,3.09536E-08,,2.25425E-06,,2.81351E-06,,,,,,,
Achromadoridae,Achromadora,tenax,Female,G501,3,6,e,,e3,,,1.8,0.450,450.000,28.000,16.071,0.073,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.45,42,16.07142857,1.157625,0.072644292,,0.005277193,,4.07191E-08,,2.76896E-06,,3.48125E-06,,,,,,,
Achromadoridae,Achromadora,terricola,Female,G501,3,6,e,,e3,,,1.8,1.010,1010.000,25.000,40.400,1.030,0.003,0.012,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.01,42,40.4,1.157625,1.030301,,1.061520151,,8.19074E-06,,0.000147898,,0.000225698,,,,,,,
Achromadoridae,Achromadora,terricola,Female,G501,3,6,e,,e3,,,1.8,1.050,1050.000,25.000,42.000,1.158,0.003,0.013,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,42,42,1.157625,1.157625,,1.340095641,,1.03402E-05,,0.000176144,,0.000271839,,,,,,,
Actinolaimidae,Actinca,costata,Female,0,4,8,o,,o4,,,3.2,3.725,3725.000,53.000,70.283,11.500,0.024,0.074,0.098,,,Actinolaimidae,Actinolaimidae,Female,4,8,o,5,6.589971973,1.58515918,0.013729108,0.003302415,0.047770876,0.008957011,0.061499984,0.012255455,,3.725,1.88,70.28301887,44.76190476,11.50024544,2.354263039,,,3.725,1.88,70.28301887,44.76190476,11.50024544,2.354263039,,132.2556453,1.58515918,0.000574026,0.003302415,0.005515383,0.008957011,0.009648046,0.012255455,,,,,,
Actinolaimidae,Actinca,marisae,Female,0,4,8,o,,o4,,,3.2,2.940,2940.000,45.500,64.615,7.672,0.016,0.055,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,1.88,65.47619048,44.76190476,7.67183432,2.354263039,,58.85704183,,0.000255456,,0.003005134,,0.005012936,,,,,,,
Actinolaimidae,Afractinca,eburnea,Female,0,4,8,o,,o4,,,3.2,1.880,1880.000,42.000,44.762,2.354,0.005,0.023,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.88,65.47619048,44.76190476,7.368507299,2.354263039,,5.542554455,,2.40562E-05,,0.000510855,,0.000756625,,,,,,,
Actinolaimidae,Neoactinolaimus,duplicidentatus,Female,G762,4,8,o,,o4,,,3.2,2.750,2750.000,42.000,65.476,7.369,0.015,0.053,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.73,65.47619048,48.75,7.368507299,4.055009766,,54.29489981,,0.000235655,,0.002828683,,0.004697241,,,,,,,
Actinolaimidae,Neoactinolaimus,tepidus,Female,G762,4,8,o,,o4,,,3.2,2.730,2730.000,56.000,48.750,4.055,0.008,0.034,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,2.73,48.75,48.75,4.055009766,4.055009766,,16.4431042,,7.13676E-05,,0.00115479,,0.001800316,,,,,,,
